class_id,seed,block,head,mean8,mean9,ratio,cosine
980,0,0,0,-0.315228,0.587068,-1.862360,0.234712
980,0,0,1,-0.624186,-0.358384,0.574162,0.952177
980,0,0,2,-0.229768,-0.362750,1.578766,0.964571
980,0,0,3,-0.836741,-1.080825,1.291707,0.983396
980,0,0,4,-0.788212,-1.027100,1.303077,0.959841
980,0,0,5,1.666146,0.696288,0.417903,0.880861
980,0,0,6,1.556814,1.055754,0.678150,0.938709
980,0,0,7,-1.796305,-1.926495,1.072477,0.996088
980,0,0,8,1.944962,1.599612,0.822439,0.991956
980,0,0,9,-1.406917,-1.593904,1.132905,0.985581
980,0,0,10,2.195322,1.944616,0.885800,0.986982
980,0,0,11,-0.113088,0.986777,-8.725726,0.278863
980,0,0,12,0.729286,0.298238,0.408945,0.743081
980,0,0,13,-1.240542,-1.435502,1.157157,0.971993
980,0,0,14,-0.917382,-1.130878,1.232723,0.976799
980,0,0,15,-0.352198,-0.427525,1.213877,0.996843
980,0,1,0,0.535430,0.614833,1.148297,0.990211
980,0,1,1,2.525499,2.428859,0.961734,0.997737
980,0,1,2,0.592901,0.773127,1.303973,0.966080
980,0,1,3,0.238416,1.361944,5.712458,0.761270
980,0,1,4,0.566402,0.678027,1.197077,0.972678
980,0,1,5,1.023565,2.216138,2.165118,0.938074
980,0,1,6,2.339960,2.184221,0.933444,0.996666
980,0,1,7,0.804079,0.965703,1.201004,0.979887
980,0,1,8,0.389013,1.167114,3.000195,0.890105
980,0,1,9,-0.504228,-0.188695,0.374226,0.720730
980,0,1,10,1.138591,0.997670,0.876232,0.980170
980,0,1,11,1.654969,1.152978,0.696676,0.987026
980,0,1,12,-0.817232,-1.216031,1.487986,0.972641
980,0,1,13,0.591528,0.574025,0.970410,0.975004
980,0,1,14,-0.082593,0.607698,-7.357726,0.466362
980,0,1,15,3.126162,4.160589,1.330894,0.982043
980,0,2,0,2.336418,2.074291,0.887808,0.993381
980,0,2,1,1.023433,1.034566,1.010878,0.951990
980,0,2,2,0.295789,0.654523,2.212801,0.891121
980,0,2,3,0.310086,0.680556,2.194734,0.902560
980,0,2,4,0.299520,0.550037,1.836398,0.944988
980,0,2,5,3.796667,3.581147,0.943234,0.988258
980,0,2,6,1.472049,1.741708,1.183186,0.976051
980,0,2,7,0.386745,0.736383,1.904055,0.910068
980,0,2,8,0.169923,0.259181,1.525290,0.945540
980,0,2,9,4.090243,3.369475,0.823784,0.998055
980,0,2,10,0.385406,1.109098,2.877736,0.852589
980,0,2,11,1.883674,2.139337,1.135726,0.991282
980,0,2,12,0.338312,0.764861,2.260817,0.889570
980,0,2,13,0.409062,0.298115,0.728777,0.968119
980,0,2,14,-0.869596,-1.015141,1.167371,0.956776
980,0,2,15,0.147402,0.750832,5.093770,0.738510
980,0,3,0,1.245908,1.253631,1.006199,0.869031
980,0,3,1,2.356711,2.044420,0.867489,0.990713
980,0,3,2,0.943559,0.613586,0.650289,0.906848
980,0,3,3,1.171100,0.752576,0.642623,0.937042
980,0,3,4,2.403295,1.832365,0.762439,0.989314
980,0,3,5,1.958679,2.319347,1.184138,0.990733
980,0,3,6,2.355665,2.219216,0.942076,0.991009
980,0,3,7,0.697686,1.021027,1.463449,0.955807
980,0,3,8,8.367129,8.795979,1.051254,0.997265
980,0,3,9,2.581554,2.849184,1.103670,0.992673
980,0,3,10,3.249173,1.589581,0.489226,0.975179
980,0,3,11,0.375934,1.894040,5.038218,0.731316
980,0,3,12,2.713789,2.524857,0.930381,0.989799
980,0,3,13,6.137752,6.719300,1.094749,0.995284
980,0,3,14,1.047973,0.896423,0.855387,0.948497
980,0,3,15,2.355113,2.108919,0.895464,0.994325
980,0,4,0,2.491839,2.221448,0.891490,0.984766
980,0,4,1,1.872053,1.992475,1.064326,0.980141
980,0,4,2,0.797239,0.989461,1.241111,0.956926
980,0,4,3,2.473020,2.643980,1.069130,0.996433
980,0,4,4,3.790333,4.068713,1.073445,0.993123
980,0,4,5,1.745696,2.630098,1.506618,0.980466
980,0,4,6,1.478045,2.512476,1.699864,0.957796
980,0,4,7,1.861296,1.483542,0.797048,0.985584
980,0,4,8,-0.238161,0.089205,-0.374559,0.842866
980,0,4,9,0.817855,0.821163,1.004045,0.966793
980,0,4,10,5.778035,5.780363,1.000403,0.991220
980,0,4,11,4.396050,4.085277,0.929306,0.993753
980,0,4,12,1.870674,1.704051,0.910929,0.993541
980,0,4,13,3.535135,3.779478,1.069119,0.990779
980,0,4,14,1.508570,1.296260,0.859264,0.988036
980,0,4,15,1.361744,2.048524,1.504339,0.983228
980,0,5,0,11.081825,11.109475,1.002495,0.996937
980,0,5,1,3.765247,2.564206,0.681019,0.940645
980,0,5,2,7.644616,7.018782,0.918134,0.989329
980,0,5,3,2.853974,2.367118,0.829411,0.987925
980,0,5,4,10.388887,10.823254,1.041811,0.998208
980,0,5,5,7.520396,7.745080,1.029877,0.997013
980,0,5,6,15.116431,16.106503,1.065496,0.998632
980,0,5,7,2.756194,3.791558,1.375650,0.966181
980,0,5,8,3.102653,3.839666,1.237543,0.972174
980,0,5,9,4.446473,4.699219,1.056842,0.985687
980,0,5,10,5.820630,4.385036,0.753361,0.996379
980,0,5,11,4.780953,4.307540,0.900979,0.960029
980,0,5,12,1.439006,0.979507,0.680683,0.872268
980,0,5,13,5.284435,5.156964,0.975878,0.998798
980,0,5,14,5.797277,5.604017,0.966664,0.983915
980,0,5,15,1.306080,0.907564,0.694876,0.834185
980,0,6,0,2.962693,3.077630,1.038795,0.953251
980,0,6,1,5.469872,4.470041,0.817211,0.992957
980,0,6,2,5.217466,4.284332,0.821152,0.997077
980,0,6,3,1.965899,2.072534,1.054243,0.918039
980,0,6,4,4.909956,5.896671,1.200962,0.986135
980,0,6,5,3.851901,3.017518,0.783384,0.981427
980,0,6,6,10.283616,9.786148,0.951625,0.992140
980,0,6,7,7.346689,7.650713,1.041382,0.997659
980,0,6,8,5.112620,3.745556,0.732610,0.992535
980,0,6,9,10.306001,9.546889,0.926343,0.997297
980,0,6,10,2.165687,2.166599,1.000421,0.927966
980,0,6,11,3.750860,3.744530,0.998312,0.962119
980,0,6,12,11.278336,10.614966,0.941182,0.997139
980,0,6,13,-0.311366,-0.631897,2.029434,0.772860
980,0,6,14,2.510545,2.123416,0.845799,0.964363
980,0,6,15,4.144225,4.116538,0.993319,0.984922
980,0,7,0,9.335884,9.860362,1.056179,0.995440
980,0,7,1,4.983407,4.949214,0.993139,0.989079
980,0,7,2,3.545662,3.630143,1.023827,0.997293
980,0,7,3,6.307268,5.561940,0.881830,0.981059
980,0,7,4,3.766694,1.662197,0.441288,0.894769
980,0,7,5,3.005683,3.486122,1.159844,0.911190
980,0,7,6,7.071616,6.572231,0.929382,0.976690
980,0,7,7,3.354008,4.402149,1.312504,0.981296
980,0,7,8,6.234912,6.141318,0.984989,0.996406
980,0,7,9,10.009842,9.690387,0.968086,0.998447
980,0,7,10,24.837860,24.972223,1.005410,0.999205
980,0,7,11,6.152579,5.836667,0.948654,0.998004
980,0,7,12,9.786808,9.563906,0.977224,0.993107
980,0,7,13,6.243769,5.550119,0.888905,0.990359
980,0,7,14,3.463312,2.674888,0.772350,0.971617
980,0,7,15,0.608066,-0.662140,-1.088929,0.436716
980,0,8,0,3.425448,4.219825,1.231904,0.984480
980,0,8,1,5.284024,4.612157,0.872849,0.978006
980,0,8,2,3.122789,2.109211,0.675425,0.881917
980,0,8,3,4.743507,3.777175,0.796283,0.987447
980,0,8,4,10.312697,10.879286,1.054941,0.999295
980,0,8,5,-1.929977,-2.236718,1.158935,0.975989
980,0,8,6,4.304101,4.697939,1.091503,0.988288
980,0,8,7,6.273101,7.492968,1.194460,0.995196
980,0,8,8,5.452981,5.312088,0.974162,0.996239
980,0,8,9,5.379174,5.305982,0.986393,0.994982
980,0,8,10,6.722087,6.647893,0.988963,0.994327
980,0,8,11,4.978398,5.647087,1.134318,0.991764
980,0,8,12,3.208595,3.357889,1.046530,0.954787
980,0,8,13,7.415615,7.227074,0.974575,0.994997
980,0,8,14,4.477922,4.917809,1.098235,0.982112
980,0,8,15,0.767990,0.701974,0.914040,0.472983
980,0,9,0,3.319266,3.284783,0.989611,0.985993
980,0,9,1,1.386244,-0.073166,-0.052780,0.494365
980,0,9,2,2.739784,2.114327,0.771713,0.983822
980,0,9,3,5.492708,5.713860,1.040263,0.995437
980,0,9,4,5.600015,6.311625,1.127073,0.994691
980,0,9,5,5.437793,6.243753,1.148215,0.992666
980,0,9,6,7.882536,8.864706,1.124601,0.994795
980,0,9,7,6.243583,5.833099,0.934255,0.998838
980,0,9,8,0.962585,0.076635,0.079614,0.611639
980,0,9,9,6.377893,6.371100,0.998935,0.994981
980,0,9,10,7.677872,6.824731,0.888883,0.995944
980,0,9,11,4.864499,3.564267,0.732710,0.990819
980,0,9,12,4.157379,4.378332,1.053147,0.882045
980,0,9,13,3.070536,2.546673,0.829390,0.988781
980,0,9,14,5.277446,5.520196,1.045998,0.995711
980,0,9,15,9.627922,9.209128,0.956502,0.998888
980,0,10,0,4.025408,2.414766,0.599881,0.939155
980,0,10,1,18.322758,18.311808,0.999402,0.997630
980,0,10,2,5.424269,4.729249,0.871868,0.989839
980,0,10,3,3.379470,2.264536,0.670086,0.967889
980,0,10,4,7.722400,7.125139,0.922659,0.999347
980,0,10,5,9.360434,9.592443,1.024786,0.998582
980,0,10,6,7.740368,7.459383,0.963699,0.990277
980,0,10,7,6.816297,5.417809,0.794832,0.998761
980,0,10,8,6.826524,7.141845,1.046190,0.994820
980,0,10,9,7.693060,8.006162,1.040699,0.987703
980,0,10,10,12.519961,12.133942,0.969168,0.988817
980,0,10,11,8.328607,8.018741,0.962795,0.997126
980,0,10,12,4.654810,3.205204,0.688579,0.984663
980,0,10,13,10.480547,10.976362,1.047308,0.998006
980,0,10,14,3.369001,2.254531,0.669199,0.909495
980,0,10,15,4.621338,4.926938,1.066128,0.992378
980,0,11,0,9.237182,9.389727,1.016514,0.999555
980,0,11,1,9.609284,10.520954,1.094874,0.999351
980,0,11,2,5.636644,6.023476,1.068628,0.996359
980,0,11,3,-1.066618,-1.896402,1.777958,0.843218
980,0,11,4,3.775968,2.430565,0.643693,0.941488
980,0,11,5,4.154196,5.197686,1.251189,0.983151
980,0,11,6,5.306105,5.613256,1.057886,0.882492
980,0,11,7,3.777254,3.207753,0.849229,0.903435
980,0,11,8,4.157977,4.093583,0.984513,0.992769
980,0,11,9,3.625888,3.093362,0.853132,0.995881
980,0,11,10,2.019356,1.145784,0.567401,0.804155
980,0,11,11,6.665429,5.452154,0.817975,0.997229
980,0,11,12,4.130662,2.067297,0.500476,0.902153
980,0,11,13,9.892299,10.954832,1.107410,0.999353
980,0,11,14,4.811502,5.789006,1.203160,0.992444
980,0,11,15,9.360631,10.053476,1.074017,0.999295
980,0,12,0,-2.793502,-3.356408,1.201506,0.988459
980,0,12,1,7.207337,7.950302,1.103085,0.988951
980,0,12,2,1.349481,2.420538,1.793680,0.920529
980,0,12,3,-3.393912,-3.703137,1.091112,0.999747
980,0,12,4,2.948252,4.014795,1.361755,0.974247
980,0,12,5,2.686944,3.009527,1.120056,0.911308
980,0,12,6,0.730394,1.920164,2.628944,0.879651
980,0,12,7,4.981237,4.258357,0.854879,0.969424
980,0,12,8,4.125742,3.982485,0.965277,0.930895
980,0,12,9,7.133491,8.424690,1.181005,0.998701
980,0,12,10,3.285849,2.621813,0.797910,0.994938
980,0,12,11,3.894034,4.360448,1.119776,0.949237
980,0,12,12,4.292494,5.967296,1.390170,0.978344
980,0,12,13,2.639534,2.612908,0.989912,0.873959
