block,head,n,ratio_mean,ratio_std,ratio_min,ratio_max,ratio_range,cosine_mean
0,0,22,-3.248079,1.442643,-7.791796,-1.551895,6.239901,0.265110
0,1,22,0.627727,0.049941,0.520817,0.717473,0.196656,0.965269
0,2,22,1.282819,1.487245,-1.498005,5.746522,7.244527,0.967041
0,3,22,1.198651,0.195580,0.952275,1.794970,0.842695,0.985047
0,4,22,0.813317,1.269551,-1.973811,2.607851,4.581663,0.888096
0,5,22,0.288425,0.110582,0.006877,0.503436,0.496559,0.852711
0,6,22,0.636218,0.036673,0.573579,0.701366,0.127787,0.928982
0,7,22,1.075702,0.032321,0.999784,1.120294,0.120510,0.995515
0,8,22,0.776796,0.035389,0.711103,0.847576,0.136473,0.986169
0,9,22,-9.153646,37.916650,-175.947925,6.348978,182.296903,0.902211
0,10,22,0.991321,0.318629,0.622013,2.256253,1.634240,0.971453
0,11,22,-3.528369,52.097834,-127.376829,129.841102,257.217931,0.315251
0,12,22,0.455604,0.412990,-1.260266,0.763247,2.023514,0.814918
0,13,22,1.093066,0.055195,1.016998,1.232146,0.215149,0.978306
0,14,22,0.885898,0.299676,0.206666,1.602098,1.395433,0.971754
0,15,22,1.218727,0.028807,1.153357,1.273907,0.120550,0.996882
1,0,22,1.117688,0.026797,1.084784,1.202452,0.117668,0.990160
1,1,22,0.929859,0.054613,0.786528,0.998071,0.211543,0.991609
1,2,22,1.120815,0.118884,0.999799,1.373872,0.374073,0.976566
1,3,22,5.214593,0.849681,3.697318,6.592929,2.895611,0.777225
1,4,22,1.118776,0.378845,0.517481,2.430288,1.912807,0.969205
1,5,22,2.109414,0.063462,2.012916,2.268104,0.255188,0.942062
1,6,22,0.972580,0.028362,0.915071,1.035910,0.120839,0.995860
1,7,22,1.260665,0.044382,1.192157,1.336344,0.144187,0.978094
1,8,22,3.026998,0.291331,2.650327,3.705413,1.055086,0.894586
1,9,22,0.493704,0.174181,0.279351,0.842852,0.563501,0.742434
1,10,22,0.773921,0.090846,0.597227,0.931952,0.334725,0.972927
1,11,22,0.683459,0.023760,0.638917,0.721316,0.082399,0.985829
1,12,22,1.614104,0.178054,1.272815,1.888590,0.615775,0.968033
1,13,22,0.873572,0.097696,0.650361,1.033123,0.382762,0.968603
1,14,22,-0.525644,3.834862,-7.357726,13.628955,20.986681,0.532828
1,15,22,1.287552,0.067156,1.146856,1.416659,0.269803,0.979686
2,0,22,0.876613,0.013115,0.857100,0.897848,0.040748,0.993036
2,1,22,0.974135,0.033892,0.872647,1.015118,0.142471,0.963442
2,2,22,2.205140,0.158008,1.969473,2.499005,0.529532,0.889996
2,3,22,2.132171,0.187594,1.908400,2.592833,0.684433,0.898282
2,4,22,1.675165,0.428466,1.315342,3.360420,2.045078,0.956543
2,5,22,0.991520,0.025617,0.943234,1.044528,0.101294,0.989004
2,6,22,1.151720,0.021708,1.109298,1.203511,0.094213,0.973575
2,7,22,1.817596,0.118086,1.647301,2.164993,0.517692,0.912879
2,8,22,2.950802,7.534220,0.199436,36.549126,36.349689,0.960337
2,9,22,0.825449,0.011957,0.797034,0.843219,0.046184,0.998175
2,10,22,2.868699,0.734965,2.187883,5.434834,3.246951,0.859616
2,11,22,1.118883,0.064512,1.024697,1.266262,0.241565,0.991343
2,12,22,2.172537,0.124742,1.998862,2.477853,0.478991,0.894978
2,13,22,0.872043,0.114772,0.595281,1.121272,0.525991,0.969400
2,14,22,1.151375,0.042303,1.076979,1.222098,0.145119,0.943528
2,15,22,3.931683,1.380878,2.979603,9.543008,6.563405,0.779769
3,0,22,1.064742,0.099946,0.952514,1.340900,0.388386,0.867855
3,1,22,0.841935,0.025476,0.790301,0.893403,0.103102,0.988091
3,2,22,0.666943,0.044824,0.579365,0.761139,0.181773,0.890998
3,3,22,0.670614,0.021666,0.636649,0.716192,0.079543,0.948332
3,4,22,0.745431,0.018459,0.708719,0.777545,0.068825,0.986829
3,5,22,1.236667,0.056018,1.142804,1.330611,0.187807,0.983513
3,6,22,0.910785,0.022793,0.868653,0.947596,0.078943,0.988926
3,7,22,1.542653,0.077572,1.380304,1.730890,0.350587,0.951716
3,8,22,1.035682,0.017657,0.994365,1.067620,0.073255,0.997224
3,9,22,1.101685,0.031935,1.056465,1.164030,0.107565,0.992516
3,10,22,0.522377,0.029027,0.471686,0.577737,0.106051,0.979534
3,11,22,4.543202,0.851867,2.869932,6.627212,3.757280,0.757920
3,12,22,0.955376,0.028023,0.914027,1.020285,0.106258,0.986744
3,13,22,1.107295,0.030508,1.066571,1.178657,0.112086,0.995825
3,14,22,0.888708,0.032031,0.812485,0.939412,0.126927,0.937701
3,15,22,0.860587,0.020117,0.829928,0.896689,0.066761,0.994167
4,0,22,0.900295,0.025501,0.846758,0.957152,0.110394,0.985905
4,1,22,1.104761,0.040455,1.031344,1.173432,0.142088,0.982412
4,2,22,1.312947,0.072841,1.211659,1.434418,0.222759,0.948566
4,3,22,1.109599,0.029878,1.051840,1.154840,0.103000,0.996464
4,4,22,1.071939,0.014389,1.045300,1.093925,0.048626,0.993555
4,5,22,1.537959,0.048488,1.469572,1.636577,0.167005,0.976573
4,6,22,1.669044,0.054332,1.555965,1.794952,0.238987,0.961233
4,7,22,0.791652,0.014910,0.747486,0.811931,0.064445,0.985380
4,8,22,0.608407,3.162086,-6.549995,10.376533,16.926528,0.880036
4,9,22,1.040610,0.040087,0.986900,1.121418,0.134517,0.963545
4,10,22,1.006655,0.023097,0.965686,1.047411,0.081725,0.993856
4,11,22,0.939945,0.010252,0.920109,0.958770,0.038660,0.995040
4,12,22,0.898265,0.010942,0.875951,0.916979,0.041028,0.992638
4,13,22,1.099651,0.063254,1.016471,1.285637,0.269166,0.989723
4,14,22,0.844449,0.015649,0.802257,0.864483,0.062226,0.986744
4,15,22,1.595095,0.083616,1.485620,1.844799,0.359179,0.978233
5,0,22,0.997006,0.012412,0.960414,1.013554,0.053140,0.996529
5,1,22,0.610405,0.054016,0.531439,0.694008,0.162569,0.913277
5,2,22,0.931076,0.024854,0.868400,0.966225,0.097825,0.989555
5,3,22,0.848806,0.025338,0.798964,0.888847,0.089883,0.989792
5,4,22,1.045820,0.017145,1.022812,1.082868,0.060056,0.997990
5,5,22,1.006765,0.017612,0.961345,1.034301,0.072955,0.997687
5,6,22,1.058354,0.019276,1.032792,1.115511,0.082719,0.998506
5,7,22,1.376290,0.047569,1.313423,1.474306,0.160883,0.959099
5,8,22,1.222982,0.036013,1.164706,1.302163,0.137457,0.974383
5,9,22,1.074256,0.033677,1.000199,1.131500,0.131301,0.986422
5,10,22,0.751721,0.007446,0.736747,0.769491,0.032744,0.996806
5,11,22,0.959365,0.027554,0.900979,0.997958,0.096979,0.962003
5,12,22,0.710681,0.067703,0.585437,0.808180,0.222743,0.884464
5,13,22,0.978467,0.007275,0.968147,0.992179,0.024032,0.998941
5,14,22,0.959413,0.020599,0.925704,1.009783,0.084079,0.986314
5,15,22,0.758357,0.099921,0.427973,0.843978,0.416004,0.870111
6,0,22,1.033723,0.030295,0.986176,1.093840,0.107664,0.941834
6,1,22,0.836149,0.019385,0.791039,0.868794,0.077755,0.991759
6,2,22,0.827041,0.006701,0.815925,0.840306,0.024381,0.997561
6,3,22,1.056259,0.038973,0.964309,1.125302,0.160993,0.919839
6,4,22,1.220294,0.021663,1.192950,1.282094,0.089144,0.983655
6,5,22,0.743079,0.039705,0.623096,0.793133,0.170037,0.974830
6,6,22,0.954562,0.012876,0.925100,0.982496,0.057396,0.994125
6,7,22,1.021997,0.017001,0.993312,1.055985,0.062673,0.997321
6,8,22,0.733585,0.006884,0.717183,0.744637,0.027454,0.992666
6,9,22,0.950574,0.013393,0.926343,0.981951,0.055608,0.998187
6,10,22,1.022803,0.034100,0.966035,1.083183,0.117148,0.919668
6,11,22,1.039395,0.029580,0.996139,1.084530,0.088391,0.946665
6,12,22,0.950553,0.013570,0.926496,0.980697,0.054201,0.997557
6,13,22,2.006857,0.313528,1.444355,2.532017,1.087662,0.736350
6,14,22,0.808354,0.053988,0.732324,0.951411,0.219087,0.959465
6,15,22,0.998236,0.026405,0.965203,1.057734,0.092531,0.983404
