block,head,n,n_images,frac,ratio_mean,ratio_std,ratio_min,ratio_max,ratio_range,cosine_mean
0,1,22,22,1.0000,0.627727,0.049941,0.520817,0.717473,0.196656,0.965269
0,2,22,22,1.0000,1.282819,1.487245,-1.498005,5.746522,7.244527,0.967041
0,3,22,22,1.0000,1.198651,0.195580,0.952275,1.794970,0.842695,0.985047
0,4,16,22,0.7273,1.233793,0.468515,0.321461,2.237022,1.915561,0.940947
0,6,22,22,1.0000,0.636218,0.036673,0.573579,0.701366,0.127787,0.928982
0,7,22,22,1.0000,1.075702,0.032321,0.999784,1.120294,0.120510,0.995515
0,8,22,22,1.0000,0.776796,0.035389,0.711103,0.847576,0.136473,0.986169
0,9,10,22,0.4545,1.807456,1.361106,1.111581,5.483618,4.372037,0.963371
0,10,22,22,1.0000,0.991321,0.318629,0.622013,2.256253,1.634240,0.971453
0,12,3,22,0.1364,0.722018,0.038993,0.685733,0.763247,0.077514,0.923460
0,13,22,22,1.0000,1.093066,0.055195,1.016998,1.232146,0.215148,0.978306
0,14,22,22,1.0000,0.885898,0.299676,0.206666,1.602098,1.395432,0.971754
0,15,22,22,1.0000,1.218727,0.028807,1.153357,1.273907,0.120550,0.996882
1,0,22,22,1.0000,1.117688,0.026797,1.084784,1.202452,0.117668,0.990160
1,1,22,22,1.0000,0.929859,0.054613,0.786528,0.998071,0.211543,0.991609
1,2,22,22,1.0000,1.120815,0.118884,0.999799,1.373872,0.374073,0.976566
1,4,22,22,1.0000,1.118776,0.378845,0.517481,2.430288,1.912807,0.969205
1,5,22,22,1.0000,2.109414,0.063462,2.012916,2.268104,0.255188,0.942062
1,6,22,22,1.0000,0.972580,0.028362,0.915071,1.035910,0.120839,0.995860
1,7,22,22,1.0000,1.260665,0.044382,1.192157,1.336344,0.144187,0.978094
1,8,5,22,0.2273,2.735419,0.119309,2.650327,2.942570,0.292243,0.903891
1,10,22,22,1.0000,0.773921,0.090846,0.597227,0.931952,0.334725,0.972927
1,11,22,22,1.0000,0.683459,0.023760,0.638917,0.721316,0.082399,0.985829
1,12,22,22,1.0000,1.614104,0.178054,1.272815,1.888590,0.615775,0.968032
1,13,22,22,1.0000,0.873572,0.097696,0.650361,1.033123,0.382762,0.968603
1,15,22,22,1.0000,1.287552,0.067156,1.146856,1.416659,0.269803,0.979686
2,0,22,22,1.0000,0.876613,0.013115,0.857100,0.897848,0.040748,0.993036
2,1,22,22,1.0000,0.974135,0.033892,0.872647,1.015118,0.142471,0.963442
2,2,5,22,0.2273,2.018301,0.033368,1.969473,2.063648,0.094175,0.905971
2,3,13,22,0.5909,2.031489,0.081592,1.908400,2.194734,0.286334,0.908399
2,4,22,22,1.0000,1.675165,0.428466,1.315342,3.360420,2.045078,0.956543
2,5,22,22,1.0000,0.991520,0.025616,0.943234,1.044528,0.101294,0.989004
2,6,22,22,1.0000,1.151720,0.021708,1.109298,1.203511,0.094213,0.973575
2,7,19,22,0.8636,1.782768,0.073690,1.647301,1.904055,0.256754,0.916391
2,8,22,22,1.0000,2.950802,7.534220,0.199436,36.549126,36.349690,0.960337
2,9,22,22,1.0000,0.825449,0.011957,0.797034,0.843219,0.046185,0.998175
2,11,22,22,1.0000,1.118883,0.064513,1.024697,1.266262,0.241565,0.991343
2,12,7,22,0.3182,2.077442,0.048727,1.998862,2.128479,0.129617,0.905957
2,13,22,22,1.0000,0.872043,0.114772,0.595281,1.121272,0.525991,0.969400
2,14,22,22,1.0000,1.151375,0.042303,1.076979,1.222098,0.145119,0.943528
3,0,2,22,0.0909,1.000102,0.053836,0.962034,1.038170,0.076136,0.913740
3,1,22,22,1.0000,0.841935,0.025476,0.790301,0.893403,0.103102,0.988091
3,2,9,22,0.4091,0.698988,0.026208,0.650289,0.729384,0.079095,0.911321
3,3,22,22,1.0000,0.670614,0.021666,0.636649,0.716192,0.079543,0.948332
3,4,22,22,1.0000,0.745431,0.018459,0.708719,0.777545,0.068826,0.986829
3,5,22,22,1.0000,1.236667,0.056018,1.142804,1.330611,0.187807,0.983513
3,6,22,22,1.0000,0.910785,0.022793,0.868653,0.947596,0.078943,0.988926
3,7,22,22,1.0000,1.542653,0.077572,1.380304,1.730890,0.350586,0.951716
3,8,22,22,1.0000,1.035682,0.017657,0.994365,1.067620,0.073255,0.997224
3,9,22,22,1.0000,1.101685,0.031935,1.056465,1.164030,0.107565,0.992516
