block,head,cos980,cos437,ratio980,ratio437,ls980,ls437,d_ratio,d_ls
0,0,0.833678,0.835305,-1.906002,-2.029384,0.900023,0.902156,0.123382,-0.002134
0,1,0.933463,0.939236,0.57198,0.558261,0.846042,0.886124,0.013719,-0.040082
0,2,0.953994,0.959821,1.580365,2.064922,0.898323,0.905777,-0.484557,-0.007454
0,3,0.948776,0.976252,1.29213,0.965993,1.013919,0.958512,0.326137,0.055407
0,4,0.908699,0.925436,1.299932,0.928326,1.02416,0.851795,0.371607,0.172365
0,5,0.883574,0.875655,0.418132,0.389387,0.738128,0.758246,0.028744,-0.020118
0,6,0.948786,0.949861,0.681546,0.700408,0.958825,0.960967,-0.018862,-0.002142
0,7,0.989533,0.987634,1.070422,1.08939,1.05149,1.059401,-0.018968,-0.007912
0,8,0.973078,0.965165,0.823841,0.824611,0.849103,0.855384,-0.00077,-0.006281
0,9,0.971987,0.979658,1.131691,1.147006,1.047421,1.09552,-0.015315,-0.048099
0,10,0.982618,0.984263,0.885482,0.876026,0.877987,0.879821,0.009456,-0.001834
0,11,0.807139,0.809864,-9.16235,-9.709604,0.91301,0.91545,0.547254,-0.002441
0,12,0.831885,0.839441,0.409931,0.576181,0.698662,0.725028,-0.166249,-0.026365
0,13,0.969404,0.967808,1.158471,1.147065,1.062441,1.057561,0.011406,0.004881
0,14,0.956747,0.971042,1.233037,1.109157,1.055161,1.016004,0.123879,0.039157
0,15,0.990968,0.9909,1.219473,1.269934,1.009847,1.007892,-0.050461,0.001955
1,0,0.979546,0.979407,1.140246,1.117775,0.998508,0.992662,0.022471,0.005845
1,1,0.987116,0.991027,0.962993,0.970033,0.970876,0.9873,-0.00704,-0.016424
1,2,0.955086,0.950622,1.305927,1.198579,0.975551,0.963404,0.107348,0.012147
1,3,0.894346,0.897645,5.68891,5.023997,1.095538,1.101418,0.664912,-0.005879
1,4,0.969128,0.984015,1.202911,1.001703,0.92491,0.950569,0.201207,-0.025659
1,5,0.921483,0.926018,2.151509,2.031197,1.199825,1.20413,0.120312,-0.004305
1,6,0.99075,0.985893,0.934806,0.961898,0.964648,0.981037,-0.027093,-0.016389
1,7,0.955651,0.955376,1.198062,1.201378,0.977485,0.978155,-0.003315,-0.000671
1,8,0.92605,0.923982,3.004801,3.113815,1.066319,1.065182,-0.109013,0.001137
1,9,0.939451,0.936789,0.360202,0.268628,0.929529,0.916,0.091574,0.013529
1,10,0.957619,0.959229,0.877355,0.900033,0.960657,0.958105,-0.022678,0.002552
1,11,0.968126,0.969532,0.694632,0.719562,0.963571,0.965349,-0.02493,-0.001777
1,12,0.963236,0.959966,1.485895,1.464606,1.111971,1.119336,0.021288,-0.007365
1,13,0.966676,0.966876,0.977063,1.030824,0.912903,0.90265,-0.05376,0.010253
1,14,0.517789,0.453444,-7.265932,-6.852812,0.684956,0.636193,-0.41312,0.048763
1,15,0.970699,0.96338,1.333311,1.330063,1.194202,1.209923,0.003247,-0.015722
2,0,0.963349,0.964791,0.888964,0.893573,0.949735,0.950231,-0.004609,-0.000496
2,1,0.965743,0.973228,1.010685,0.999255,0.956574,0.974712,0.011429,-0.018138
2,2,0.962089,0.962251,2.239745,2.0848,1.028243,1.028326,0.154945,-8.4e-05
2,3,0.965131,0.965951,2.178034,1.979499,1.042064,1.042467,0.198535,-0.000403
2,4,0.926355,0.957355,1.842732,1.640388,1.05019,1.129818,0.202344,-0.079628
2,5,0.983918,0.982106,0.942686,0.980562,0.958178,0.989654,-0.037877,-0.031476
2,6,0.956573,0.956859,1.180576,1.164914,1.069276,1.066006,0.015661,0.00327
2,7,0.959786,0.960831,1.91892,1.771636,1.023202,1.023867,0.147285,-0.000666
2,8,0.925378,0.947907,1.550766,0.45877,0.910115,0.904083,1.091996,0.006032
2,9,0.978626,0.977375,0.823833,0.804251,0.881784,0.86802,0.019582,0.013764
2,10,0.91594,0.923135,2.889908,2.202604,1.026614,1.043253,0.687304,-0.016639
2,11,0.984599,0.980858,1.135152,1.080762,1.062696,1.015745,0.05439,0.046952
