class_id,seed,block,head,cosine,ls_scale,ratio,mean8_up,mean9
437,0,0,0,0.801380,0.815106,0.893615,0.408847,0.365352
437,0,0,1,0.961982,0.948010,0.832551,-0.727387,-0.605587
437,0,0,2,0.941558,0.805233,0.083536,0.412772,0.034481
437,0,0,3,0.981996,0.981917,1.000139,-1.980429,-1.980704
437,0,0,4,0.938012,0.880175,0.951428,-1.118412,-1.064089
437,0,0,5,0.806393,0.776791,-0.087893,1.024889,-0.090081
437,0,0,6,0.932375,0.970754,0.707282,1.196300,0.846122
437,0,0,7,0.985886,1.052862,1.098053,-1.534787,-1.685278
437,0,0,8,0.961931,0.883566,0.861497,1.675593,1.443518
437,0,0,9,0.977056,1.099673,1.188291,-1.365596,-1.622726
437,0,0,10,0.985396,0.814281,0.810656,2.865567,2.322989
437,0,0,11,0.799303,0.852759,1.495501,0.390912,0.584610
437,0,0,12,0.841794,0.512889,0.430329,1.945246,0.837096
437,0,0,13,0.956685,1.047710,1.431701,-0.878592,-1.257881
437,0,0,14,0.969885,1.049006,1.159118,-1.424816,-1.651529
437,0,0,15,0.993606,0.996106,1.004926,-1.405432,-1.412354
437,0,1,0,0.971596,0.995656,0.651144,0.141972,0.092444
437,0,1,1,0.991503,0.984570,0.972048,2.762852,2.685624
437,0,1,2,0.934854,0.780573,0.783988,1.221073,0.957307
437,0,1,3,0.896844,1.044579,2.389243,0.328703,0.785351
437,0,1,4,0.976561,0.840195,0.834872,2.265376,1.891299
437,0,1,5,0.900616,1.088042,1.412646,1.089603,1.539223
437,0,1,6,0.988968,0.977180,0.957090,2.284323,2.186301
437,0,1,7,0.954860,0.957153,1.054652,0.675074,0.711968
437,0,1,8,0.902639,1.010411,1.372742,0.339123,0.465528
437,0,1,9,0.936017,0.931780,-2.145283,-0.104092,0.223306
437,0,1,10,0.947917,0.961469,0.975547,1.258912,1.228127
437,0,1,11,0.962599,0.985714,0.818296,1.002186,0.820084
437,0,1,12,0.940783,1.055691,1.406728,-0.626541,-0.881373
437,0,1,13,0.960418,0.805783,0.762283,1.343647,1.024239
437,0,1,14,0.274063,0.204893,0.846144,0.485250,0.410591
437,0,1,15,0.957527,0.942617,1.022584,4.196350,4.291121
437,0,2,0,0.958854,0.960490,0.909637,2.069160,1.882184
437,0,2,1,0.981477,0.925497,0.930246,2.581259,2.401206
437,0,2,2,0.957863,1.011981,1.066130,0.294607,0.314089
437,0,2,3,0.963989,1.023156,1.211751,0.333777,0.404454
437,0,2,4,0.897729,0.710867,0.757030,1.541329,1.166831
437,0,2,5,0.971640,0.823217,0.824026,4.693398,3.867484
437,0,2,6,0.949113,1.028755,0.991718,1.362666,1.351380
437,0,2,7,0.954823,1.001896,1.048830,0.419293,0.439768
437,0,2,8,0.846855,0.667398,0.187494,0.384597,0.072110
437,0,2,9,0.967664,0.886601,0.816973,3.777239,3.085901
437,0,2,10,0.914531,0.981620,1.257429,0.638221,0.802517
437,0,2,11,0.968323,0.862915,0.851655,2.302416,1.960864
437,0,2,12,0.959086,1.013671,1.169798,0.317893,0.371871
437,0,2,13,0.925973,0.871886,0.726967,0.925722,0.672970
437,0,2,14,0.905410,0.924029,2.177988,-0.270602,-0.589369
437,0,2,15,0.946137,1.022118,1.621156,0.205015,0.332362
437,0,3,0,0.801303,0.671422,0.418432,2.186802,0.915027
437,0,3,1,0.960269,0.929498,0.835215,2.440684,2.038495
437,0,3,2,0.917502,0.927612,0.386975,0.903177,0.349507
437,0,3,3,0.943044,0.952203,0.284537,0.729731,0.207636
437,0,3,4,0.929916,0.915287,0.805234,2.385883,1.921194
437,0,3,5,0.966695,0.910447,0.982300,2.391477,2.349149
437,0,3,6,0.964066,0.978146,0.932985,2.080705,1.941266
437,0,3,7,0.945740,0.937169,0.949133,0.829648,0.787447
437,0,3,8,0.992616,1.012201,1.021214,8.433202,8.612100
437,0,3,9,0.966910,0.816742,0.848391,3.105728,2.634871
437,0,3,10,0.898891,0.877973,0.598949,2.338613,1.400711
437,0,3,11,0.812866,0.959564,1.690193,0.593666,1.003411
437,0,3,12,0.967811,0.833115,0.818262,3.270113,2.675808
437,0,3,13,0.972468,0.891111,0.914865,7.989430,7.309254
437,0,3,14,0.918834,0.929225,0.619187,1.104846,0.684107
437,0,3,15,0.971522,0.982624,0.884818,2.215840,1.960615
437,0,4,0,0.964602,0.922042,0.857022,2.442912,2.093630
437,0,4,1,0.922482,0.925956,0.666490,2.157119,1.437698
437,0,4,2,0.957954,0.988129,0.998635,0.758806,0.757770
437,0,4,3,0.965314,1.022310,1.066194,2.105578,2.244954
437,0,4,4,0.972198,0.874943,0.888010,4.413710,3.919420
437,0,4,5,0.946007,1.003942,1.100550,1.713450,1.885738
437,0,4,6,0.925485,0.969197,1.055530,1.492422,1.575296
437,0,4,7,0.972858,0.955966,0.757534,1.659648,1.257241
437,0,4,8,0.887059,0.534409,0.496004,0.844324,0.418788
437,0,4,9,0.960357,0.995354,0.867797,0.730227,0.633689
437,0,4,10,0.978304,0.852544,0.844808,7.744906,6.542963
437,0,4,11,0.959309,0.948118,1.067856,3.060407,3.268072
437,0,4,12,0.950549,0.948680,0.835285,1.607719,1.342904
437,0,4,13,0.969142,0.872891,0.883466,5.215368,4.607600
437,0,4,14,0.970429,0.980346,0.755973,1.320062,0.997931
437,0,4,15,0.945293,0.999579,1.112117,1.194699,1.328645
