class_id,seed,block,head,cosine,ls_scale,ratio,mean8_up,mean9
980,0,12,3,0.998378,1.085899,1.086586,-3.518921,-3.823611
980,0,15,4,0.997716,1.045948,1.048833,-3.391582,-3.557204
980,0,7,10,0.997193,0.964689,0.965669,25.723412,24.840307
980,0,10,4,0.996354,0.914021,0.913172,7.699496,7.030965
980,0,11,0,0.995752,1.003219,1.005866,8.970757,9.023378
980,0,5,4,0.994676,0.972581,0.975918,10.891348,10.629062
980,0,5,6,0.994619,0.986947,0.994771,16.332296,16.246902
980,0,10,1,0.994592,0.943963,0.949731,19.593842,18.608883
980,0,3,8,0.993956,1.011258,1.019148,8.923088,9.093951
980,0,0,15,0.993726,0.998225,1.008220,-1.459459,-1.471456
980,0,1,6,0.992829,0.962221,0.935484,2.803319,2.622458
980,0,9,7,0.991065,0.937346,0.923330,5.794315,5.350067
980,0,10,13,0.990854,0.975985,0.979065,11.189662,10.955411
980,0,8,4,0.990833,1.024996,1.022714,11.181554,11.435527
980,0,9,15,0.990327,0.946458,0.905590,10.060431,9.110621
980,0,7,9,0.989831,0.905158,0.900827,10.695308,9.634618
980,0,5,0,0.989650,0.906933,0.915508,12.255982,11.220448
980,0,11,13,0.989163,1.068984,1.077493,10.532876,11.349105
980,0,11,15,0.988497,1.041153,1.044376,9.956080,10.397892
980,0,10,5,0.988191,0.956459,0.954506,10.074179,9.615868
980,0,0,7,0.988051,1.047835,1.076391,-1.640844,-1.766190
980,0,6,9,0.988043,0.889375,0.860860,10.729397,9.236513
980,0,1,1,0.987808,0.968024,0.968402,2.617398,2.534694
980,0,11,1,0.987391,1.046203,1.048864,10.242602,10.743093
980,0,11,9,0.986634,0.925940,0.874231,4.209057,3.679686
980,0,6,12,0.986048,0.909919,0.861846,11.879365,10.238177
980,0,7,11,0.985877,0.999681,1.025013,5.304893,5.437586
980,0,10,10,0.985423,0.878523,0.889819,13.642183,12.139076
980,0,6,7,0.985281,0.931461,0.933816,8.107588,7.570992
980,0,7,0,0.985241,0.931255,0.943225,10.297771,9.713115
980,0,13,6,0.985083,1.006810,1.007466,8.259512,8.321176
980,0,0,10,0.984889,0.811419,0.815856,2.665288,2.174490
980,0,12,9,0.984868,1.088610,1.115793,7.812870,8.717547
980,0,8,8,0.984641,0.965608,0.926787,5.401755,5.006276
980,0,10,7,0.983893,0.872754,0.830864,6.044925,5.022510
980,0,5,13,0.983885,0.961712,0.906958,5.251243,4.762655
980,0,13,15,0.982979,1.277122,1.345645,-1.827800,-2.459569
980,0,8,13,0.981869,0.939783,0.912427,7.244871,6.610415
980,0,14,1,0.981741,0.885892,0.868108,10.163670,8.823164
980,0,9,6,0.981273,0.974566,0.981187,8.016909,7.866083
980,0,8,7,0.981259,1.001898,1.038181,6.481196,6.728652
980,0,5,5,0.980999,0.929199,0.923166,8.217239,7.585875
980,0,6,6,0.980662,0.867492,0.850664,11.198909,9.526506
980,0,15,12,0.979668,1.048695,0.993519,5.970239,5.931547
980,0,10,11,0.979100,0.914050,0.879166,8.212810,7.220424
980,0,11,11,0.978588,0.790944,0.760343,6.440689,4.897131
980,0,15,0,0.978537,0.958122,0.972855,4.933658,4.799735
980,0,12,10,0.977857,0.868592,0.809032,3.496895,2.829100
980,0,10,2,0.977718,0.911148,0.864374,5.852644,5.058873
980,0,7,2,0.976506,0.981654,0.995738,3.525314,3.510290
980,0,9,9,0.976095,0.913158,0.855657,6.673206,5.709975
980,0,7,12,0.975885,0.842355,0.846786,11.020582,9.332079
980,0,12,1,0.975631,0.970214,0.969388,8.371373,8.115106
980,0,6,2,0.975548,0.896069,0.793867,5.015512,3.981648
980,0,2,1,0.974758,0.912380,0.892397,1.482321,1.322819
980,0,10,9,0.974526,0.878971,0.897244,8.512690,7.637963
980,0,5,2,0.974405,0.786508,0.791599,8.818394,6.980629
980,0,4,10,0.974212,0.867467,0.844433,6.730481,5.683441
980,0,8,10,0.974147,0.884194,0.870777,7.175771,6.248496
980,0,4,7,0.973865,0.957321,0.771533,1.692695,1.305969
980,0,9,3,0.973532,0.932100,0.913176,5.844012,5.336612
980,0,12,0,0.973350,1.251995,1.360135,-2.226880,-3.028858
980,0,9,10,0.973238,0.846811,0.824291,7.729331,6.371215
980,0,10,6,0.973028,0.878840,0.849817,8.767534,7.450797
980,0,2,11,0.972839,0.900470,0.912480,2.564458,2.340017
980,0,15,2,0.972717,0.846340,0.799474,5.350588,4.277658
980,0,4,14,0.972600,0.984998,0.792936,1.330313,1.054854
980,0,1,0,0.971665,1.001130,0.790060,0.196837,0.155513
980,0,15,9,0.971538,0.911782,0.869812,4.371384,3.802281
980,0,8,11,0.971439,0.952083,0.966394,5.343028,5.163473
980,0,2,5,0.971377,0.794628,0.792473,4.966849,3.936096
980,0,4,4,0.971199,0.881992,0.885216,4.404038,3.898524
980,0,3,5,0.971141,0.892220,0.946076,2.680615,2.536066
980,0,7,3,0.971091,0.769149,0.768221,7.327472,5.629117
980,0,5,3,0.971004,0.911069,0.782224,3.035915,2.374766
980,0,10,3,0.970566,0.801102,0.711416,4.139894,2.945185
980,0,13,4,0.970331,0.818976,0.819327,9.294610,7.615328
980,0,0,8,0.970251,0.872590,0.854299,1.742937,1.488989
980,0,3,15,0.970239,0.984906,0.877387,2.132547,1.871069
980,0,0,9,0.970216,1.049402,1.183842,-1.222170,-1.446856
980,0,3,12,0.970069,0.839879,0.801769,3.360732,2.694532
980,0,9,14,0.969987,0.946766,0.923002,5.507484,5.083416
980,0,15,3,0.969691,0.902707,0.876862,4.114633,3.607964
980,0,2,9,0.969187,0.898409,0.835842,3.768819,3.150137
980,0,9,5,0.968711,0.962428,0.994485,5.904072,5.871510
980,0,15,5,0.968550,0.930988,0.969955,4.267702,4.139477
980,0,9,4,0.968076,0.981587,0.996873,5.807397,5.789237
980,0,10,8,0.967914,0.936960,0.912395,6.745048,6.154148
980,0,1,15,0.967743,0.969529,1.049032,4.464365,4.683264
980,0,11,2,0.967280,0.948297,0.929412,5.741096,5.335844
980,0,7,8,0.966448,0.958958,0.907366,6.566498,5.958215
980,0,11,14,0.965852,0.990327,1.018824,5.348017,5.448689
980,0,5,14,0.965548,0.799163,0.803495,6.869098,5.519287
980,0,10,12,0.965409,0.830714,0.753621,5.377697,4.052745
980,0,3,13,0.965054,0.863290,0.882026,7.661222,6.757393
980,0,3,9,0.965028,0.833330,0.874047,3.371401,2.946763
980,0,4,3,0.964689,1.016585,1.050442,2.164466,2.273647
980,0,4,0,0.964576,0.932177,0.886922,2.327108,2.063963
980,0,8,9,0.964053,0.881188,0.833507,5.639428,4.700501
980,0,15,1,0.963789,0.904972,0.846744,3.430663,2.904893
980,0,2,3,0.963684,1.024582,1.311256,0.264831,0.347262
980,0,7,14,0.962700,0.751020,0.694843,4.389427,3.049964
980,0,8,6,0.962559,0.916643,0.910281,4.814094,4.382180
980,0,3,6,0.962553,0.980976,0.924671,1.976993,1.828069
980,0,4,9,0.961661,0.999149,0.881620,0.732779,0.646032
980,0,1,11,0.961634,0.986044,0.797005,0.997538,0.795043
980,0,15,11,0.961455,0.817046,0.764846,4.849897,3.709427
980,0,0,1,0.961376,0.917993,0.801776,-0.833113,-0.667971
980,0,4,2,0.961368,0.996254,1.037408,0.811661,0.842024
980,0,6,15,0.961321,0.888943,0.796484,4.282657,3.411068
980,0,4,11,0.960182,0.950189,1.063335,3.193281,3.395528
980,0,0,3,0.959632,1.053965,1.240110,-1.236496,-1.533391
980,0,7,6,0.959164,0.817612,0.787807,8.210080,6.467961
980,0,0,13,0.958983,1.055288,1.406627,-0.945778,-1.330356
980,0,2,12,0.958574,1.016579,1.311891,0.245376,0.321906
980,0,3,1,0.957655,0.932687,0.822525,2.306650,1.897278
980,0,2,2,0.957421,1.013085,1.040747,0.252198,0.262474
980,0,2,0,0.957411,0.959543,0.902571,2.015473,1.819107
980,0,6,4,0.957251,0.928441,0.957895,5.579593,5.344664
980,0,4,13,0.957244,0.837547,0.843619,4.341005,3.662154
980,0,8,14,0.956571,0.917078,0.899939,4.964665,4.467897
980,0,15,14,0.956454,0.831159,0.814930,4.437804,3.616498
980,0,7,13,0.956441,0.797211,0.780432,6.582401,5.137115
980,0,13,5,0.956052,0.654752,0.599246,4.577601,2.743111
980,0,9,11,0.955886,0.816940,0.715539,4.336528,3.102954
980,0,5,9,0.955702,0.900254,0.886453,4.572948,4.053702
980,0,1,13,0.955309,0.803125,0.704531,1.294933,0.912321
980,0,1,7,0.954585,0.957005,1.038480,0.628029,0.652195
980,0,2,7,0.953697,1.002113,1.049868,0.358105,0.375964
980,0,10,15,0.953631,0.926090,0.911630,4.618867,4.210700
980,0,1,4,0.953599,0.799487,0.752829,1.220283,0.918664
980,0,0,14,0.952865,1.080041,1.330560,-0.861912,-1.146826
980,0,6,1,0.952666,0.772331,0.715957,5.759613,4.123634
980,0,15,10,0.951856,0.955835,0.963140,-1.598738,-1.539809
980,0,8,1,0.951796,0.795670,0.729164,5.848854,4.264773
