class_id,block,head,profile_cosine,mapped_query_cosine,attn_mass_s0s7_scale8,attn_mass_s0s7_scale9
980,0,0,0.234712,0.792805,0.124745,0.112856
980,0,1,0.952177,0.936998,0.743369,0.576825
980,0,2,0.964571,0.948225,0.507880,0.457559
980,0,3,0.983396,0.937074,0.893293,0.857498
980,0,4,0.959841,0.878520,0.739583,0.583756
980,0,5,0.880861,0.878132,0.924828,0.921870
980,0,6,0.938709,0.933258,0.628635,0.331116
980,0,7,0.996088,0.983169,0.547685,0.328370
980,0,8,0.991956,0.968784,0.752692,0.467778
980,0,9,0.985581,0.958662,0.644976,0.526771
980,0,10,0.986982,0.982568,0.373531,0.318548
980,0,11,0.278863,0.759763,0.140084,0.130569
980,0,12,0.743081,0.817639,0.207244,0.090445
980,0,13,0.971993,0.951511,0.341084,0.210627
980,0,14,0.976799,0.948530,0.582307,0.520544
980,0,15,0.996843,0.984668,0.985270,0.975402
980,1,0,0.990211,0.967725,0.858516,0.706945
980,1,1,0.997737,0.980061,0.565116,0.468078
980,1,2,0.966080,0.945141,0.458133,0.432473
980,1,3,0.761270,0.858364,0.288891,0.251226
980,1,4,0.972678,0.961766,0.403272,0.384241
980,1,5,0.938074,0.881513,0.318632,0.278998
980,1,6,0.996666,0.986344,0.305049,0.198405
980,1,7,0.979887,0.928391,0.548809,0.428276
980,1,8,0.890105,0.896593,0.495809,0.473372
980,1,9,0.720730,0.918916,0.165287,0.083590
980,1,10,0.980170,0.930961,0.409975,0.184417
980,1,11,0.987026,0.964827,0.826236,0.551216
980,1,12,0.972641,0.951321,0.737069,0.681284
980,1,13,0.975004,0.955899,0.419441,0.393547
980,1,14,0.466362,0.561962,0.296048,0.248279
980,1,15,0.982043,0.964422,0.069397,0.045694
980,2,0,0.993381,0.949278,0.678374,0.499763
980,2,1,0.951990,0.945545,0.514647,0.411452
980,2,2,0.891121,0.935558,0.457990,0.322090
980,2,3,0.902560,0.939585,0.423616,0.270819
980,2,4,0.944988,0.924762,0.374454,0.317876
980,2,5,0.988258,0.982308,0.134018,0.097563
980,2,6,0.976051,0.935501,0.531722,0.361579
980,2,7,0.910068,0.932588,0.442734,0.315284
980,2,8,0.945540,0.912937,0.359540,0.306277
980,2,9,0.998055,0.977398,0.594842,0.258658
980,2,10,0.852589,0.902479,0.492347,0.411992
980,2,11,0.991282,0.980881,0.328662,0.247830
980,2,12,0.889570,0.936365,0.466858,0.328598
980,2,13,0.968119,0.924197,0.815054,0.794826
980,2,14,0.956776,0.917618,0.412365,0.283016
980,2,15,0.738510,0.922637,0.391444,0.278188
980,3,0,0.869031,0.932837,0.094240,0.037790
980,3,1,0.990713,0.953563,0.566546,0.304380
980,3,2,0.906848,0.914989,0.225135,0.110452
980,3,3,0.937042,0.946307,0.834054,0.583835
980,3,4,0.989314,0.917321,0.518803,0.296575
980,3,5,0.990733,0.984668,0.401560,0.383209
980,3,6,0.991009,0.956441,0.625807,0.328418
980,3,7,0.955807,0.942703,0.420557,0.324963
980,3,8,0.997265,0.992666,0.379015,0.230699
980,3,9,0.992673,0.985072,0.388965,0.383946
980,3,10,0.975179,0.871793,0.661051,0.182150
980,3,11,0.731316,0.791562,0.193668,0.181336
980,3,12,0.989799,0.978864,0.244871,0.110802
980,3,13,0.995284,0.986582,0.040283,0.027627
980,3,14,0.948497,0.922788,0.197399,0.103642
980,3,15,0.994325,0.963482,0.680899,0.340958
980,4,0,0.984766,0.943680,0.505370,0.291830
980,4,1,0.980141,0.970662,0.163839,0.097776
980,4,2,0.956926,0.952781,0.426666,0.204938
980,4,3,0.996433,0.949516,0.624446,0.318598
980,4,4,0.993123,0.987664,0.281854,0.264628
980,4,5,0.980466,0.949678,0.293770,0.234643
980,4,6,0.957796,0.941015,0.256200,0.214718
980,4,7,0.985584,0.970172,0.609746,0.332567
980,4,8,0.842865,0.840936,0.276538,0.272911
980,4,9,0.966793,0.949606,0.523060,0.285456
980,4,10,0.991220,0.987002,0.141216,0.108797
980,4,11,0.993753,0.968375,0.852633,0.583584
980,4,12,0.993541,0.953622,0.606971,0.419674
980,4,13,0.990779,0.978870,0.280596,0.225159
980,4,14,0.988036,0.963859,0.610872,0.392123
980,4,15,0.983228,0.939578,0.375286,0.242012
980,5,0,0.996937,0.994267,0.340615,0.257958
980,5,1,0.940645,0.925125,0.086949,0.003986
980,5,2,0.989329,0.985816,0.160111,0.104282
980,5,3,0.987925,0.969030,0.278982,0.097624
980,5,4,0.998208,0.996768,0.531466,0.504018
980,5,5,0.997013,0.987247,0.153357,0.100604
980,5,6,0.998632,0.997169,0.224030,0.178065
980,5,7,0.966181,0.926296,0.169142,0.120219
