class_id,block,head,profile_cosine,mapped_query_cosine,attn_mass_s0s7_scale8,attn_mass_s0s7_scale9
980,12,3,0.999747,0.998795,0.966374,0.930823
980,11,0,0.999555,0.996322,0.468670,0.356661
980,11,13,0.999353,0.988896,0.256208,0.112479
980,11,1,0.999351,0.988626,0.269080,0.124075
980,10,4,0.999347,0.996300,0.737608,0.633304
980,11,15,0.999295,0.986695,0.288191,0.139812
980,8,4,0.999295,0.988230,0.218300,0.107707
980,15,4,0.999265,0.998281,0.954624,0.875792
980,7,10,0.999205,0.998240,0.413970,0.357109
980,9,15,0.998888,0.989671,0.213072,0.088511
980,9,7,0.998838,0.992243,0.719742,0.602242
980,5,13,0.998798,0.983335,0.333426,0.180311
980,10,7,0.998761,0.983924,0.795404,0.426255
980,12,9,0.998701,0.981697,0.330083,0.151910
980,5,6,0.998632,0.997169,0.224030,0.178065
980,10,5,0.998583,0.989052,0.258243,0.158257
980,7,9,0.998447,0.992984,0.268510,0.182327
980,5,4,0.998208,0.996768,0.531466,0.504018
980,13,6,0.998151,0.983790,0.370517,0.184845
980,2,9,0.998055,0.977398,0.594842,0.258658
980,10,13,0.998006,0.993716,0.313668,0.200092
980,7,11,0.998004,0.992661,0.727394,0.385048
980,1,1,0.997737,0.980061,0.565116,0.468078
980,6,7,0.997659,0.990004,0.234457,0.196133
980,10,1,0.997630,0.996165,0.756231,0.678081
980,6,9,0.997297,0.991476,0.176355,0.104495
980,7,2,0.997294,0.966380,0.587367,0.400264
980,3,8,0.997265,0.992666,0.379015,0.230699
980,14,1,0.997229,0.983851,0.597661,0.384978
980,11,11,0.997229,0.986769,0.462967,0.140694
980,15,12,0.997148,0.980268,0.501705,0.137702
980,6,12,0.997139,0.989798,0.096627,0.061479
980,10,11,0.997126,0.986361,0.236328,0.137395
980,6,2,0.997077,0.973175,0.720777,0.497920
980,5,5,0.997013,0.987247,0.153357,0.100604
980,5,0,0.996937,0.994267,0.340615,0.257958
980,0,15,0.996843,0.984668,0.985270,0.975402
980,1,6,0.996666,0.986344,0.305049,0.198405
980,4,3,0.996433,0.949516,0.624446,0.318598
980,13,15,0.996408,0.983662,0.802012,0.627381
980,7,8,0.996406,0.972124,0.450303,0.163031
980,5,10,0.996379,0.957832,0.760210,0.351417
980,11,2,0.996359,0.976977,0.311234,0.177422
980,8,8,0.996239,0.983968,0.679205,0.396179
980,0,7,0.996088,0.983169,0.547685,0.328370
980,9,10,0.995944,0.981182,0.224450,0.075791
980,11,9,0.995881,0.976289,0.337277,0.123972
980,9,14,0.995711,0.976044,0.124658,0.066091
980,7,0,0.995440,0.992361,0.476104,0.445903
980,9,3,0.995437,0.980294,0.276494,0.151857
980,3,13,0.995284,0.986582,0.040283,0.027627
980,8,7,0.995196,0.980990,0.123288,0.098189
980,8,13,0.994997,0.982662,0.227754,0.087768
980,8,9,0.994982,0.974843,0.106918,0.065227
980,9,9,0.994981,0.983557,0.153991,0.087254
980,12,10,0.994938,0.968923,0.569986,0.330877
980,10,8,0.994820,0.979628,0.194706,0.124363
980,9,6,0.994795,0.985677,0.147532,0.105095
980,9,4,0.994691,0.975204,0.206646,0.091479
980,8,10,0.994327,0.981813,0.186476,0.118120
980,3,15,0.994325,0.963482,0.680899,0.340958
980,4,11,0.993753,0.968375,0.852633,0.583584
980,4,12,0.993541,0.953622,0.606971,0.419674
980,2,0,0.993381,0.949278,0.678374,0.499763
980,4,4,0.993123,0.987664,0.281854,0.264628
980,7,12,0.993107,0.989576,0.107805,0.068410
980,6,1,0.992957,0.967495,0.187067,0.107263
980,11,8,0.992769,0.965348,0.407193,0.200891
980,3,9,0.992673,0.985072,0.388965,0.383946
980,9,5,0.992666,0.959601,0.198213,0.096354
980,6,8,0.992535,0.957179,0.695755,0.419865
980,11,14,0.992444,0.966323,0.412206,0.252893
980,10,15,0.992378,0.969723,0.195103,0.119362
980,6,6,0.992140,0.987476,0.250426,0.207335
980,0,8,0.991956,0.968784,0.752692,0.467778
980,8,11,0.991764,0.973556,0.108390,0.074835
980,2,11,0.991282,0.980881,0.328662,0.247830
980,4,10,0.991220,0.987002,0.141216,0.108797
980,3,6,0.991009,0.956441,0.625807,0.328418
980,9,11,0.990819,0.965584,0.637545,0.117791
980,4,13,0.990779,0.978870,0.280596,0.225159
980,3,5,0.990733,0.984668,0.401560,0.383209
980,3,1,0.990713,0.953563,0.566546,0.304380
980,7,13,0.990359,0.973615,0.189626,0.126289
980,10,6,0.990277,0.977359,0.165420,0.080172
980,1,0,0.990211,0.967725,0.858516,0.706945
980,15,2,0.989867,0.973222,0.158300,0.055827
980,10,2,0.989839,0.972772,0.547035,0.276401
980,3,12,0.989799,0.978864,0.244871,0.110802
980,15,5,0.989443,0.958896,0.164245,0.078566
980,5,2,0.989329,0.985816,0.160111,0.104282
980,3,4,0.989314,0.917321,0.518803,0.296575
980,7,1,0.989079,0.967144,0.096638,0.065037
980,12,1,0.988950,0.979069,0.139463,0.063230
980,10,10,0.988817,0.986038,0.807316,0.826953
980,9,13,0.988781,0.938757,0.620891,0.334611
980,12,0,0.988459,0.986921,0.605474,0.477349
980,8,6,0.988288,0.959697,0.172951,0.108979
980,2,5,0.988258,0.982308,0.134018,0.097563
980,4,14,0.988036,0.963859,0.610872,0.392123
980,5,3,0.987925,0.969030,0.278982,0.097624
980,10,9,0.987703,0.985013,0.554438,0.494173
980,15,0,0.987497,0.975456,0.226723,0.153001
980,8,3,0.987447,0.963798,0.390064,0.106096
980,15,10,0.987407,0.960153,0.654455,0.220887
980,15,9,0.987027,0.972757,0.258179,0.113005
980,1,11,0.987026,0.964827,0.826236,0.551216
980,0,10,0.986982,0.982568,0.373531,0.318548
980,13,4,0.986622,0.974968,0.156482,0.091799
980,6,4,0.986135,0.972473,0.144633,0.118534
980,9,0,0.985993,0.948573,0.206107,0.165755
980,13,5,0.985854,0.948794,0.227090,0.069197
980,5,9,0.985687,0.962921,0.186344,0.146734
980,4,7,0.985584,0.970172,0.609746,0.332567
980,0,9,0.985581,0.958662,0.644976,0.526771
980,15,3,0.985544,0.967301,0.177066,0.059828
980,6,15,0.984922,0.974282,0.118654,0.072767
980,4,0,0.984766,0.943680,0.505370,0.291830
980,10,12,0.984663,0.943125,0.477574,0.195724
980,8,0,0.984480,0.937826,0.229417,0.173148
980,5,14,0.983915,0.980496,0.186861,0.128628
980,9,2,0.983822,0.931310,0.594259,0.283048
980,0,3,0.983396,0.937074,0.893293,0.857498
980,4,15,0.983228,0.939578,0.375286,0.242012
980,11,5,0.983151,0.954322,0.249185,0.169674
980,15,11,0.983046,0.962857,0.167280,0.123548
980,8,14,0.982112,0.967039,0.273716,0.172064
980,1,15,0.982043,0.964422,0.069397,0.045694
980,6,5,0.981427,0.944485,0.199381,0.123638
980,7,7,0.981296,0.949002,0.243965,0.170042
980,7,3,0.981059,0.975905,0.297800,0.217965
980,4,5,0.980466,0.949678,0.293770,0.234643
980,1,10,0.980170,0.930961,0.409975,0.184417
980,4,1,0.980141,0.970662,0.163839,0.097776
980,1,7,0.979887,0.928391,0.548809,0.428276
980,12,12,0.978344,0.956098,0.137069,0.123283
980,8,1,0.978006,0.971749,0.206155,0.125539
980,15,14,0.977528,0.956928,0.251418,0.133460
980,0,14,0.976799,0.948530,0.582307,0.520544
980,7,6,0.976690,0.970374,0.096569,0.046388
980,2,6,0.976051,0.935501,0.531722,0.361579
980,8,5,0.975989,0.968895,0.286013,0.216981
980,3,10,0.975179,0.871793,0.661051,0.182150
980,1,13,0.975004,0.955899,0.419441,0.393547
980,12,4,0.974247,0.926104,0.213459,0.152601
980,14,4,0.973962,0.962326,0.124909,0.139443
980,1,4,0.972678,0.961766,0.403272,0.384241
980,1,12,0.972641,0.951321,0.737069,0.681284
980,5,8,0.972174,0.943336,0.145847,0.128725
980,0,13,0.971993,0.951511,0.341084,0.210627
980,7,14,0.971617,0.959660,0.208436,0.106547
980,15,8,0.971015,0.948534,0.176911,0.106487
980,15,1,0.971009,0.958231,0.172650,0.068058
980,12,7,0.969424,0.953458,0.086634,0.061091
980,2,13,0.968119,0.924197,0.815054,0.794826
980,10,3,0.967889,0.949028,0.362237,0.203637
980,4,9,0.966793,0.949606,0.523060,0.285456
980,5,7,0.966181,0.926296,0.169142,0.120219
980,1,2,0.966080,0.945141,0.458133,0.432473
980,0,2,0.964571,0.948225,0.507880,0.457559
980,6,14,0.964363,0.954887,0.197805,0.081757
980,14,2,0.963363,0.955895,0.135769,0.134412
980,12,14,0.962338,0.950627,0.205066,0.123843
980,6,11,0.962119,0.954360,0.235053,0.214053
980,5,11,0.960029,0.951184,0.165697,0.142107
980,0,4,0.959841,0.878520,0.739583,0.583756
980,4,6,0.957796,0.941015,0.256200,0.214718
980,15,7,0.957599,0.943895,0.151659,0.071837
980,4,2,0.956926,0.952781,0.426666,0.204938
980,2,14,0.956776,0.917618,0.412365,0.283016
980,14,14,0.956036,0.950608,0.159971,0.179601
980,3,7,0.955807,0.942703,0.420557,0.324963
980,14,7,0.954808,0.937709,0.237364,0.409005
