block,head,cosine,mean8,mean9,ratio,abs8,abs9,abs_ratio,std8,std9,std_ratio,ls_scale,rmse,rmse_scaled
0,1,0.952177,-0.624186,-0.358384,0.574162,0.845479,0.728265,0.861364,0.771703,0.810742,1.050588,0.849986,0.308598,0.270399
0,2,0.964571,-0.229768,-0.362750,1.578766,1.105145,1.062475,0.961391,1.362262,1.283679,0.942315,0.931453,0.363782,0.351289
0,3,0.983396,-0.836741,-1.080825,1.291707,1.318936,1.489228,1.129113,1.322857,1.351456,1.021619,1.087420,0.342134,0.313662
0,4,0.959841,-0.788212,-1.027100,1.303077,0.851772,1.062590,1.247505,0.566203,0.631523,1.115367,1.192635,0.386263,0.338076
0,6,0.938709,1.556814,1.055754,0.678150,1.556814,1.055754,0.678150,0.398279,0.409706,1.028692,0.661444,0.669495,0.390272
0,7,0.996088,-1.796305,-1.926495,1.072477,1.852833,2.005141,1.082203,0.739742,0.863319,1.167053,1.082402,0.245737,0.186483
0,8,0.991956,1.944962,1.599612,0.822439,1.944962,1.599612,0.822439,0.476985,0.372286,0.780497,0.813529,0.427346,0.207867
0,9,0.985581,-1.406917,-1.593904,1.132905,1.514746,1.717611,1.133927,1.013952,1.114701,1.099362,1.105409,0.376224,0.328897
0,10,0.986982,2.195322,1.944616,0.885800,2.227036,1.968755,0.884025,1.210839,1.118312,0.923584,0.883081,0.464636,0.360612
0,13,0.971993,-1.240542,-1.435502,1.157157,1.476407,1.773251,1.201058,1.009998,1.269704,1.257135,1.164366,0.521084,0.450002
0,14,0.976799,-0.917382,-1.130878,1.232723,1.081996,1.260693,1.165155,0.876993,0.906001,1.033077,1.115455,0.342905,0.310086
0,15,0.996843,-0.352198,-0.427525,1.213877,1.717875,1.685655,0.981244,2.032129,2.001481,0.984918,0.989239,0.163692,0.162186
1,0,0.990211,0.535430,0.614833,1.148297,1.498461,1.492081,0.995742,1.839421,1.819741,0.989301,0.992861,0.267979,0.267631
1,1,0.997737,2.525499,2.428860,0.961735,2.592955,2.506827,0.966784,1.500455,1.499786,0.999555,0.969515,0.211686,0.191832
1,2,0.966080,0.592901,0.773127,1.303973,1.078531,1.108493,1.027780,1.276773,1.242379,0.973062,1.004419,0.377403,0.377352
1,4,0.972678,0.566402,0.678027,1.197077,1.467719,1.409216,0.960140,1.668977,1.555122,0.931782,0.936377,0.408829,0.393207
1,5,0.938074,1.023565,2.216138,2.165118,1.172064,2.263734,1.931408,1.078848,1.251842,1.160351,1.606421,1.260323,0.881353
1,6,0.996666,2.339960,2.184221,0.933444,2.341199,2.188869,0.934935,1.071980,1.044702,0.974554,0.937544,0.254588,0.197465
1,7,0.979887,0.804079,0.965702,1.201004,0.820997,0.970035,1.181532,0.682210,0.782679,1.147270,1.155153,0.296913,0.247858
1,10,0.980170,1.138591,0.997670,0.876232,1.138591,1.002232,0.880238,0.642205,0.684232,1.065443,0.906956,0.268653,0.239573
1,11,0.987026,1.654969,1.152978,0.696676,1.654969,1.153063,0.696728,0.611445,0.443326,0.725047,0.691049,0.579908,0.198283
1,12,0.972641,-0.817232,-1.216031,1.487986,1.136957,1.412672,1.242502,1.174550,1.177876,1.002832,1.151216,0.448421,0.392921
1,13,0.975004,0.591528,0.574025,0.970410,1.545811,1.432421,0.926647,1.761020,1.645621,0.934470,0.914739,0.417648,0.386562
1,15,0.982043,3.126162,4.160589,1.330894,3.126162,4.160589,1.330894,0.994696,1.206048,1.212479,1.296776,1.270921,0.817119
2,0,0.993381,2.336418,2.074291,0.887808,2.336418,2.074291,0.887808,1.074888,1.086442,1.010749,0.904382,0.364303,0.268861
2,1,0.951990,1.023434,1.034566,1.010877,1.228010,1.297339,1.056457,1.141258,1.264202,1.107726,1.014395,0.499982,0.499496
2,3,0.902560,0.310086,0.680556,2.194734,0.502124,0.766820,1.527151,0.533992,0.573808,1.074563,1.301972,0.425829,0.382966
2,4,0.944988,0.299520,0.550037,1.836398,0.697719,0.862139,1.235654,0.935197,0.983966,1.052148,1.085099,0.377516,0.368185
2,5,0.988258,3.796667,3.581147,0.943235,3.796667,3.581147,0.943235,1.129329,1.247402,1.104551,0.946071,0.617421,0.579303
2,6,0.976051,1.472049,1.741708,1.183186,1.472049,1.742129,1.183472,0.912767,0.913363,1.000653,1.108384,0.467000,0.427650
2,7,0.910068,0.386745,0.736383,1.904055,0.658078,0.849118,1.290299,0.708763,0.656856,0.926764,1.112947,0.418644,0.408621
2,8,0.945540,0.169923,0.259181,1.525290,0.496115,0.438397,0.883661,0.678962,0.622631,0.917033,0.911275,0.227758,0.219162
2,9,0.998055,4.090243,3.369475,0.823784,4.090243,3.369475,0.823784,0.974190,0.864028,0.886919,0.825673,0.764305,0.216815
2,11,0.991282,1.883674,2.139337,1.135726,1.948259,2.165589,1.111551,1.282711,1.303174,1.015953,1.089711,0.388025,0.329875
2,13,0.968119,0.409062,0.298115,0.728777,0.781841,0.776597,0.993293,1.101396,1.167988,1.060461,0.993155,0.301501,0.301394
2,14,0.956776,-0.869596,-1.015141,1.167371,1.003892,1.170121,1.165584,0.780544,0.794881,1.018368,1.055821,0.380312,0.374687
3,1,0.990713,2.356711,2.044420,0.867489,2.356711,2.044420,0.867489,0.897677,0.730804,0.814106,0.852935,0.473914,0.295144
3,2,0.906848,0.943559,0.613586,0.650289,0.952834,0.653955,0.686326,0.502863,0.468716,0.932095,0.654701,0.491863,0.325184
3,3,0.937042,1.171100,0.752576,0.642623,1.171736,0.838612,0.715700,0.769920,0.780217,1.013374,0.724461,0.540341,0.378174
3,4,0.989314,2.403295,1.832366,0.762439,2.403295,1.832366,0.762439,0.748545,0.735535,0.982619,0.775946,0.633085,0.287804
3,5,0.990733,1.958679,2.319347,1.184138,1.999251,2.349516,1.175198,1.091956,1.071484,0.981252,1.128882,0.451430,0.346893
3,6,0.991009,2.355665,2.219216,0.942076,2.355665,2.219216,0.942076,0.773038,0.762251,0.986046,0.937915,0.349584,0.313888
3,7,0.955807,0.697686,1.021027,1.463449,1.126757,1.252239,1.111366,1.176571,1.167086,0.991939,1.083906,0.469585,0.455385
3,8,0.997265,8.367129,8.795979,1.051254,8.367129,8.795979,1.051254,1.349717,1.156164,0.856597,1.043919,0.753931,0.655645
3,9,0.992673,2.581554,2.849184,1.103670,2.581554,2.849184,1.103670,0.987638,0.944080,0.955897,1.078028,0.421871,0.362608
3,10,0.975179,3.249173,1.589581,0.489226,3.249173,1.589581,0.489226,0.918422,0.575573,0.626698,0.488224,1.767817,0.374238
3,12,0.989799,2.713789,2.524857,0.930381,2.713789,2.524857,0.930381,0.871115,0.847391,0.972766,0.924875,0.435603,0.379368
3,13,0.995284,6.137752,6.719300,1.094749,6.137752,6.719300,1.094749,1.265028,1.256943,0.993609,1.085682,0.853164,0.663038
3,14,0.948497,1.047973,0.896423,0.855387,1.049019,0.899228,0.857208,0.440735,0.401157,0.910200,0.819330,0.372681,0.311009
3,15,0.994325,2.355113,2.108918,0.895464,2.355113,2.108918,0.895464,1.011519,0.939060,0.928366,0.895539,0.363214,0.245517
4,0,0.984766,2.491838,2.221449,0.891490,2.491838,2.221449,0.891490,0.922628,1.105791,1.198524,0.919506,0.481421,0.431325
