class_id,block,head,profile_cosine,upsample_bilinear_cosine,nearest_cosine,mean8_up,mean9
437,0,0,0.237190,0.835305,0.797449,-0.293984,0.596606
437,0,1,0.959100,0.939236,0.935622,-0.517306,-0.288792
437,0,2,0.967441,0.959821,0.956094,-0.151841,-0.313541
437,0,3,0.993743,0.976252,0.970270,-1.503523,-1.452393
437,0,4,0.969989,0.925436,0.906448,-0.942229,-0.874695
437,0,5,0.878445,0.875655,0.869874,1.668166,0.649563
437,0,6,0.941564,0.949861,0.933134,1.568425,1.098538
437,0,7,0.994678,0.987634,0.979606,-1.698871,-1.850734
437,0,8,0.990776,0.965165,0.958219,1.901174,1.567729
437,0,9,0.988400,0.979658,0.975993,-1.564279,-1.794238
437,0,10,0.988756,0.984263,0.982422,2.371337,2.077353
437,0,11,0.294758,0.809864,0.771553,-0.099788,0.968901
437,0,12,0.765589,0.839441,0.827954,0.926719,0.533957
437,0,13,0.967151,0.967808,0.948048,-1.210491,-1.388512
437,0,14,0.986648,0.971042,0.964598,-1.447943,-1.605998
437,0,15,0.996836,0.990900,0.984024,-0.281382,-0.357336
437,1,0,0.989595,0.979407,0.967313,0.501647,0.560728
437,1,1,0.997835,0.991027,0.981716,2.622885,2.544285
437,1,2,0.963694,0.950622,0.940738,0.645913,0.774178
437,1,3,0.785652,0.897645,0.856674,0.270499,1.358987
437,1,4,0.988693,0.984015,0.980395,1.581908,1.584602
437,1,5,0.946294,0.926018,0.882797,1.104523,2.243504
437,1,6,0.995145,0.985893,0.970362,1.845244,1.774937
437,1,7,0.980370,0.955376,0.926191,0.820090,0.985238
437,1,8,0.889435,0.923982,0.890943,0.377729,1.176178
437,1,9,0.679610,0.936789,0.916934,-0.535841,-0.143942
437,1,10,0.981650,0.959229,0.931414,1.160446,1.044440
437,1,11,0.988417,0.969532,0.965146,1.670844,1.202276
437,1,12,0.973944,0.959966,0.948410,-0.765894,-1.121734
437,1,13,0.977730,0.966876,0.961062,0.756159,0.779466
437,1,14,0.394309,0.453444,0.488476,-0.092856,0.636325
437,1,15,0.977562,0.963380,0.950543,2.862242,3.806962
437,2,0,0.993817,0.964791,0.948624,2.402468,2.146782
437,2,1,0.975937,0.973228,0.962189,2.083362,2.081810
437,2,2,0.896340,0.962251,0.934429,0.334116,0.696566
437,2,3,0.908244,0.965951,0.938997,0.359776,0.712177
437,2,4,0.968667,0.957355,0.952361,0.553110,0.907314
437,2,5,0.987315,0.982106,0.975530,3.530659,3.462031
437,2,6,0.975866,0.956859,0.933330,1.482144,1.726571
437,2,7,0.917328,0.960831,0.933030,0.444412,0.787336
437,2,8,0.959983,0.947907,0.933657,-0.161015,-0.073869
437,2,9,0.998101,0.977375,0.974899,4.122259,3.315331
437,2,10,0.898821,0.923135,0.905252,0.576431,1.269648
437,2,11,0.989007,0.980858,0.967165,1.586523,1.714654
437,2,12,0.907083,0.961717,0.935578,0.392908,0.789480
437,2,13,0.974482,0.949001,0.927170,0.738197,0.720354
437,2,14,0.933136,0.929067,0.903663,-0.671804,-0.808845
437,2,15,0.773287,0.945677,0.920045,0.177898,0.756073
437,3,0,0.868917,0.938222,0.931282,1.250854,1.266869
437,3,1,0.992249,0.962426,0.950937,2.467286,2.172122
437,3,2,0.881064,0.933524,0.907439,0.839190,0.564076
437,3,3,0.937516,0.957014,0.943592,1.230950,0.784587
