class_id,block,head,profile_cosine,upsample_bilinear_cosine,nearest_cosine,mean8_up,mean9
980,12,3,0.999747,0.998367,0.997941,-3.394085,-3.703136
980,7,10,0.999205,0.998180,0.997465,24.810331,24.972221
980,15,4,0.999265,0.997873,0.997522,-3.399591,-3.521923
980,5,6,0.998632,0.997191,0.996225,15.131959,16.106504
980,5,4,0.998208,0.997061,0.995598,10.381485,10.823254
980,11,0,0.999555,0.996627,0.994905,9.218587,9.389727
980,10,4,0.999347,0.996603,0.995168,7.711009,7.125139
980,10,1,0.997630,0.995381,0.994355,18.321810,18.311806
980,5,0,0.996937,0.994134,0.992177,11.081689,11.109474
980,9,7,0.998838,0.993777,0.990063,6.251175,5.833099
980,3,8,0.997265,0.993770,0.991185,8.366017,8.795979
980,10,13,0.998006,0.993716,0.991908,10.475681,10.976363
980,7,9,0.998447,0.993424,0.990663,10.009980,9.690387
980,7,11,0.998004,0.993417,0.990653,6.164805,5.836668
980,9,15,0.998888,0.993211,0.988666,9.614549,9.209128
980,6,12,0.997139,0.992612,0.988254,11.243883,10.614966
980,6,9,0.997297,0.992457,0.988896,10.286623,9.546891
980,7,0,0.995440,0.992258,0.990978,9.332618,9.860361
980,6,7,0.997659,0.991799,0.987827,7.342807,7.650712
980,0,15,0.996843,0.990968,0.984079,-0.350582,-0.427525
980,10,5,0.998583,0.990863,0.984723,9.352808,9.592443
980,1,6,0.996666,0.990750,0.985692,2.336552,2.184221
980,8,4,0.999295,0.990649,0.984094,10.306208,10.879286
980,9,9,0.994981,0.990101,0.981815,6.387530,6.371099
980,9,6,0.994795,0.989686,0.985284,7.886407,8.864708
980,5,13,0.998798,0.989560,0.981920,5.307657,5.156963
980,0,7,0.996088,0.989533,0.982376,-1.799752,-1.926495
980,4,4,0.993123,0.989493,0.986222,3.788623,4.068713
980,8,8,0.996239,0.989140,0.983256,5.465841,5.312087
980,10,11,0.997126,0.988939,0.984400,8.326771,8.018741
980,4,10,0.991220,0.988702,0.985641,5.778840,5.780363
980,11,13,0.999353,0.988619,0.982879,9.882347,10.954833
980,7,12,0.993107,0.988545,0.987427,9.788302,9.563906
980,5,5,0.997013,0.988433,0.984461,7.507529,7.745080
980,6,6,0.992140,0.988169,0.985794,10.267582,9.786150
980,3,13,0.995284,0.988129,0.984121,6.130351,6.719301
980,11,15,0.999295,0.988010,0.980868,9.332312,10.053479
980,11,1,0.999351,0.987762,0.982013,9.585690,10.520954
980,15,12,0.997148,0.987711,0.977960,5.798041,6.150850
980,11,11,0.997229,0.987548,0.983827,6.657772,5.452154
980,1,1,0.997737,0.987116,0.981616,2.522198,2.428859
980,8,7,0.995196,0.987030,0.980872,6.283651,7.492969
980,13,15,0.996408,0.986878,0.981246,-1.937323,-2.532294
980,14,1,0.997229,0.986800,0.981043,9.744600,8.843259
980,12,0,0.988459,0.986780,0.985957,-2.794726,-3.356408
980,8,13,0.994997,0.986428,0.980439,7.401367,7.227074
980,10,10,0.988817,0.986199,0.984660,12.497222,12.133943
980,8,10,0.994327,0.986090,0.979349,6.735701,6.647893
980,3,9,0.992673,0.985953,0.982707,2.581253,2.849184
980,5,2,0.989329,0.985900,0.984139,7.650848,7.018783
980,13,6,0.998151,0.985824,0.976298,7.570729,8.103387
980,10,9,0.987703,0.985601,0.983846,7.684031,8.006162
980,3,5,0.990733,0.985534,0.983671,1.954571,2.319346
980,10,7,0.998761,0.985216,0.981508,6.825999,5.417810
980,9,3,0.995437,0.985033,0.977506,5.494443,5.713861
980,2,11,0.991282,0.984599,0.979901,1.884626,2.139337
980,10,8,0.994820,0.984270,0.978061,6.808814,7.141845
980,12,9,0.998701,0.984223,0.975463,7.114397,8.424690
980,3,12,0.989799,0.983919,0.978866,2.699136,2.524856
980,2,5,0.988258,0.983918,0.981091,3.798877,3.581148
980,8,9,0.994982,0.983371,0.973150,5.378099,5.305982
980,6,15,0.984922,0.983301,0.974210,4.145282,4.116539
980,11,9,0.995881,0.982922,0.973725,3.603383,3.093361
980,0,10,0.986982,0.982618,0.980932,2.196109,1.944615
980,4,13,0.990779,0.982318,0.976996,3.531104,3.779478
980,15,0,0.987497,0.981933,0.974547,4.251216,4.671915
980,5,14,0.983915,0.981844,0.979976,5.799173,5.604017
980,9,14,0.995711,0.981752,0.973035,5.256820,5.520195
980,10,6,0.990277,0.981403,0.975456,7.731435,7.459383
980,11,2,0.996359,0.981281,0.973279,5.605719,6.023477
980,8,11,0.991764,0.981257,0.972065,4.976851,5.647088
980,12,1,0.988950,0.980841,0.975588,7.193062,7.950302
980,9,10,0.995944,0.980811,0.975529,7.673961,6.824731
980,6,2,0.997077,0.980165,0.971595,5.213248,4.284333
980,6,4,0.986135,0.979714,0.971658,4.913947,5.896669
980,15,9,0.987027,0.979560,0.971036,3.752770,3.675682
980,1,0,0.990211,0.979546,0.967524,0.539211,0.614833
980,5,3,0.987925,0.979279,0.968365,2.855559,2.367117
980,2,9,0.998055,0.978626,0.975164,4.089999,3.369475
980,4,11,0.993753,0.978477,0.968430,4.414533,4.085277
980,7,2,0.997294,0.978127,0.966151,3.554986,3.630144
980,15,2,0.989867,0.977818,0.971038,4.801709,4.081647
980,3,15,0.994325,0.977402,0.963610,2.367768,2.108919
980,7,3,0.981059,0.977311,0.974357,6.315486,5.561940
980,13,4,0.986622,0.977308,0.973594,8.106461,7.572601
980,15,3,0.985544,0.977057,0.964949,3.494726,3.445524
980,8,6,0.988288,0.976624,0.960176,4.318693,4.697938
980,10,15,0.992378,0.976079,0.966075,4.607685,4.926939
980,9,4,0.994691,0.976043,0.963457,5.567767,6.311626
980,4,14,0.988036,0.976033,0.962639,1.519231,1.296260
980,11,14,0.992444,0.975826,0.961147,4.811596,5.789007
980,8,14,0.982112,0.975721,0.966025,4.479475,4.917809
980,9,5,0.992666,0.975343,0.959436,5.439359,6.243754
980,7,1,0.989079,0.975089,0.964736,4.981727,4.949215
980,12,10,0.994938,0.974997,0.965147,3.270148,2.621813
980,4,7,0.985584,0.974874,0.969303,1.868721,1.483542
980,4,1,0.980141,0.974871,0.966877,1.846656,1.992475
980,8,1,0.978006,0.974720,0.971598,5.307227,4.612157
980,10,2,0.989839,0.974273,0.971135,5.420508,4.729249
980,7,13,0.990359,0.973909,0.967870,6.238363,5.550118
980,7,8,0.996406,0.973639,0.964289,6.236341,6.141318
980,5,9,0.985687,0.973278,0.958167,4.441153,4.699220
980,0,8,0.991956,0.973078,0.967642,1.941652,1.599612
980,11,8,0.992769,0.972596,0.957318,4.143566,4.093584
980,6,1,0.992957,0.972389,0.962650,5.467313,4.470042
980,15,11,0.983046,0.972299,0.960656,4.099246,3.544890
980,7,6,0.976690,0.972226,0.969275,7.068964,6.572230
980,9,11,0.990819,0.972095,0.962665,4.862603,3.564267
980,0,9,0.985581,0.971987,0.967238,-1.408426,-1.593904
980,15,5,0.989443,0.970943,0.955249,3.560337,3.899947
980,15,1,0.971009,0.970710,0.956781,2.835545,2.686788
980,1,15,0.982043,0.970699,0.964937,3.120494,4.160589
980,8,5,0.975989,0.970074,0.965595,-1.928272,-2.236718
980,0,13,0.971993,0.969404,0.950631,-1.239134,-1.435502
980,1,4,0.972678,0.969128,0.966089,0.563655,0.678027
980,3,6,0.991009,0.968933,0.954827,2.370237,2.219216
980,4,3,0.996433,0.968264,0.945554,2.472387,2.643980
980,6,14,0.964363,0.968166,0.955056,2.512801,2.123416
980,1,11,0.987026,0.968126,0.964361,1.659838,1.152978
980,9,0,0.985993,0.967792,0.946230,3.332785,3.284784
980,7,7,0.981296,0.967493,0.951821,3.363456,4.402149
980,1,13,0.975004,0.966676,0.960728,0.587500,0.574025
980,11,5,0.983151,0.966592,0.953854,4.134048,5.197683
980,2,1,0.951990,0.965743,0.958223,1.023629,1.034566
980,12,12,0.978344,0.965578,0.956486,4.276214,5.967295
980,4,9,0.966793,0.965199,0.947027,0.827419,0.821163
980,8,3,0.987447,0.965137,0.960166,4.735231,3.777174
980,2,3,0.902560,0.965131,0.938496,0.312464,0.680556
980,15,10,0.987407,0.965091,0.955401,-2.232525,-1.904720
980,14,4,0.973962,0.964403,0.958570,5.186351,5.747311
980,4,0,0.984766,0.963409,0.942334,2.494652,2.221449
980,2,0,0.993381,0.963349,0.946247,2.333380,2.074291
980,1,12,0.972641,0.963236,0.953586,-0.818383,-1.216031
980,7,14,0.971617,0.963058,0.958684,3.458453,2.674887
980,5,10,0.996379,0.962541,0.953866,5.849443,4.385036
980,8,0,0.984480,0.962426,0.937042,3.448183,4.219825
980,2,2,0.891121,0.962089,0.933651,0.292231,0.654523
980,4,5,0.980466,0.962066,0.947532,1.760188,2.630098
980,5,8,0.972174,0.961577,0.943777,3.115155,3.839667
980,4,12,0.993541,0.961371,0.951612,1.886371,1.704051
980,2,12,0.889570,0.960936,0.934751,0.336511,0.764862
980,14,2,0.963363,0.960889,0.954004,4.677158,5.153028
980,4,2,0.956926,0.960489,0.949605,0.796288,0.989461
980,6,8,0.992535,0.960109,0.959029,5.137269,3.745557
980,3,1,0.990713,0.960016,0.948698,2.346030,2.044420
980,2,7,0.910068,0.959786,0.930761,0.383749,0.736383
980,15,8,0.971015,0.959558,0.943528,3.604102,3.939806
980,15,14,0.977528,0.959315,0.950121,3.784651,3.504994
980,12,7,0.969424,0.959169,0.951925,4.984451,4.258358
980,8,12,0.954787,0.958975,0.943076,3.223036,3.357889
980,12,4,0.974247,0.958213,0.935966,2.952095,4.014794
980,9,13,0.988781,0.958101,0.931263,3.073350,2.546673
980,3,3,0.937042,0.957863,0.944891,1.170025,0.752576
980,1,10,0.980170,0.957619,0.930223,1.137135,0.997671
980,12,14,0.962338,0.957363,0.946845,5.015826,5.406446
980,6,11,0.962119,0.957087,0.954003,3.754290,3.744531
980,6,5,0.981427,0.957037,0.946125,3.855016,3.017518
980,0,14,0.976799,0.956747,0.949594,-0.917149,-1.130879
980,4,6,0.957796,0.956744,0.939171,1.486885,2.512475
980,5,11,0.960029,0.956699,0.954318,4.786714,4.307541
980,2,6,0.976051,0.956573,0.932725,1.475304,1.741708
980,3,7,0.955807,0.956185,0.940547,0.694976,1.021027
980,4,15,0.983228,0.956107,0.935733,1.358917,2.048524
980,10,3,0.967889,0.955711,0.947865,3.371714,2.264536
980,1,7,0.979887,0.955651,0.926859,0.806054,0.965702
980,15,7,0.957599,0.955326,0.940615,2.961915,2.442846
980,13,5,0.985854,0.955143,0.950366,3.713343,2.385070
980,1,2,0.966080,0.955086,0.950283,0.592014,0.773127
980,14,14,0.956036,0.954528,0.948890,4.289216,4.527945
980,10,12,0.984663,0.954018,0.937996,4.653224,3.205204
980,0,2,0.964571,0.953994,0.949384,-0.229535,-0.362750
980,9,2,0.983822,0.952566,0.925220,2.752294,2.114328
980,6,0,0.953251,0.951402,0.930639,2.974736,3.077630
980,13,1,0.949907,0.951181,0.941092,4.394456,4.424067
980,13,3,0.943617,0.950108,0.941701,4.025568,4.167186
980,6,10,0.927966,0.949644,0.930724,2.172126,2.166599
980,0,6,0.938709,0.948786,0.931940,1.549057,1.055754
980,0,3,0.983396,0.948776,0.935842,-0.836467,-1.080825
980,5,7,0.966181,0.947951,0.924848,2.762566,3.791558
980,13,14,0.946478,0.946740,0.939851,4.825365,4.798707
980,12,11,0.949237,0.946487,0.933224,3.886505,4.360448
980,14,7,0.954808,0.946221,0.935750,5.758312,3.635808
980,13,12,0.946238,0.945898,0.940234,4.988033,4.496780
980,13,7,0.920422,0.945564,0.926124,1.886755,1.528893
980,2,15,0.738510,0.944845,0.919623,0.150048,0.750832
980,2,14,0.956776,0.943303,0.920409,-0.869253,-1.015141
980,2,13,0.968119,0.942686,0.924424,0.402265,0.298115
980,11,4,0.941488,0.940772,0.921412,3.790642,2.430565
980,3,14,0.948497,0.940345,0.919204,1.047034,0.896423
980,1,9,0.720730,0.939451,0.918236,-0.523858,-0.188695
980,15,13,0.942859,0.938773,0.925154,2.532221,2.007365
980,12,8,0.930895,0.938435,0.921686,4.113453,3.982485
980,3,0,0.869031,0.938069,0.932082,1.247722,1.253631
980,10,0,0.939155,0.937945,0.927577,4.013638,2.414765
980,3,2,0.906848,0.935032,0.911966,0.945916,0.613586
980,10,14,0.909495,0.935028,0.927380,3.376400,2.254531
980,13,9,0.924436,0.934994,0.912311,3.370292,3.736738
980,14,12,0.894646,0.934198,0.925740,2.426268,2.559801
980,0,1,0.952177,0.933463,0.930625,-0.626568,-0.358384
980,11,7,0.903435,0.932754,0.923238,3.765570,3.207754
980,13,0,0.935095,0.932413,0.919451,4.586256,3.789763
980,12,2,0.920529,0.931682,0.899772,1.386577,2.420538
980,5,1,0.940645,0.930784,0.925199,3.766259,2.564205
980,5,12,0.872268,0.929284,0.920026,1.431648,0.979507
980,14,8,0.899815,0.927796,0.919445,3.076159,2.975749
980,3,4,0.989314,0.927167,0.914369,2.408376,1.832365
980,13,2,0.867608,0.926883,0.918420,1.407649,2.057238
980,2,4,0.944988,0.926355,0.922784,0.298490,0.550037
980,1,8,0.890105,0.926050,0.893448,0.388417,1.167115
980,13,13,0.803005,0.925445,0.913931,-0.776448,-0.740524
980,2,8,0.945540,0.925378,0.915203,0.167131,0.259181
980,7,5,0.911190,0.924083,0.905778,2.992658,3.486122
980,13,10,0.924483,0.922769,0.902905,2.917835,3.782548
980,1,5,0.938074,0.921483,0.879489,1.030039,2.216138
980,6,3,0.918039,0.918455,0.914909,1.959208,2.072534
980,13,11,0.910012,0.915972,0.908741,5.258994,4.433729
980,2,10,0.852589,0.915940,0.898324,0.383783,1.109098
980,6,13,0.772860,0.914582,0.882749,-0.325413,-0.631897
980,14,11,0.895100,0.914106,0.903786,2.710719,3.606094
980,8,2,0.881917,0.912950,0.905216,3.115816,2.109211
980,0,4,0.959841,0.908699,0.886620,-0.790118,-1.027100
980,12,13,0.873959,0.907474,0.901298,2.632014,2.612908
980,12,6,0.879651,0.905866,0.870636,0.759185,1.920164
980,11,12,0.902153,0.905322,0.903715,4.140021,2.067297
980,9,12,0.882045,0.901979,0.899903,4.146457,4.378333
980,11,10,0.804155,0.900609,0.878927,2.015330,1.145784
