class_id,seed,block,head,cosine,ls_scale,ratio,mean8_up,mean9
437,0,0,0,0.763237,0.720536,0.011173,1.469330,0.016418
437,0,0,1,0.985014,1.011273,1.037551,-1.044374,-1.083591
437,0,0,2,0.932181,0.718388,0.442478,1.264703,0.559603
437,0,0,3,0.987294,1.003117,1.028829,-2.700020,-2.777860
437,0,0,4,0.952385,0.912995,0.975156,-1.384249,-1.349859
437,0,0,5,0.635823,0.879295,-22.226522,0.054265,-1.206111
437,0,0,6,0.905724,0.987817,0.732908,0.634809,0.465257
437,0,0,7,0.982522,1.040246,1.115304,-1.287205,-1.435625
437,0,0,8,0.959182,0.959209,0.940745,1.335219,1.256100
437,0,0,9,0.970514,1.110661,1.279720,-1.065809,-1.363936
437,0,0,10,0.991721,0.762918,0.745887,3.611299,2.693623
437,0,0,11,0.789445,0.780334,0.004209,1.131317,0.004762
437,0,0,12,0.884173,0.448225,0.371759,3.482077,1.294494
437,0,0,13,0.935875,1.029155,2.807790,-0.377797,-1.060775
437,0,0,14,0.970207,1.104923,1.237649,-1.389919,-1.720231
437,0,0,15,0.996058,0.986392,0.968647,-3.101483,-3.004244
437,0,1,0,0.956293,1.001859,1.532538,-0.400733,-0.614139
437,0,1,1,0.992109,0.981208,0.974729,2.974047,2.898889
437,0,1,2,0.947739,0.676957,0.590558,2.088916,1.233626
437,0,1,3,0.899665,0.976148,-0.192529,0.416525,-0.080193
437,0,1,4,0.980009,0.768823,0.714080,3.296644,2.354067
437,0,1,5,0.869363,0.930483,0.446589,1.067089,0.476550
437,0,1,6,0.991802,0.973724,0.952546,2.946837,2.806999
437,0,1,7,0.954837,0.930330,0.656721,0.456262,0.299637
437,0,1,8,0.871762,0.933275,-2.160268,0.280870,-0.606755
437,0,1,9,0.935511,0.949824,1.420329,0.547364,0.777437
437,0,1,10,0.934433,0.965711,1.069490,1.407485,1.505290
437,0,1,11,0.952648,1.022632,-36.130895,-0.006737,0.243404
437,0,1,12,0.884775,0.869083,1.246048,-0.416274,-0.518698
437,0,1,13,0.964097,0.733738,0.624893,2.230094,1.393571
437,0,1,14,0.205774,0.079205,0.051554,1.357539,0.069987
437,0,1,15,0.984654,0.825924,0.808724,6.209353,5.021653
437,0,2,0,0.948907,0.979748,0.946815,1.566240,1.482940
437,0,2,1,0.991402,0.887722,0.865151,3.332523,2.883135
437,0,2,2,0.952186,0.990679,-1.119285,0.234991,-0.263022
437,0,2,3,0.961838,0.999000,-0.203229,0.294546,-0.059860
437,0,2,4,0.929273,0.583565,0.513915,3.032428,1.558411
437,0,2,5,0.982559,0.733103,0.694694,6.447825,4.479263
437,0,2,6,0.938885,0.976866,0.664133,1.182388,0.785263
437,0,2,7,0.946960,0.972882,-0.222003,0.381392,-0.084670
437,0,2,8,0.780872,0.515650,0.242059,1.207858,0.292373
437,0,2,9,0.952528,0.923156,0.841271,3.256647,2.739722
437,0,2,10,0.906064,0.898818,0.133534,0.731454,0.097674
437,0,2,11,0.974204,0.768755,0.689516,3.382610,2.332363
437,0,2,12,0.955884,0.992556,-1.261577,0.204704,-0.258250
437,0,2,13,0.906665,0.731184,0.497630,1.208675,0.601473
437,0,2,14,0.868499,0.852939,-0.771317,0.334761,-0.258207
437,0,2,15,0.947129,1.001045,-1.248174,0.245932,-0.306966
437,0,3,0,0.702317,0.473498,0.106734,3.599031,0.384141
437,0,3,1,0.957188,0.914069,0.765188,2.400545,1.836868
437,0,3,2,0.897466,0.889723,0.025755,0.999724,0.025748
437,0,3,3,0.917387,0.946702,24.972767,-0.026545,-0.662912
437,0,3,4,0.932222,0.936078,0.855508,2.360477,2.019408
437,0,3,5,0.988807,0.798079,0.777395,3.513522,2.731393
437,0,3,6,0.953695,0.973325,0.913128,1.514789,1.383196
437,0,3,7,0.935595,0.871494,0.434717,1.134086,0.493006
437,0,3,8,0.994216,0.979069,0.976770,9.297827,9.081840
437,0,3,9,0.984036,0.700037,0.672781,4.306104,2.897065
437,0,3,10,0.955358,1.121397,1.151336,1.066236,1.227596
437,0,3,11,0.813035,0.856801,-0.478781,0.901407,-0.431577
437,0,3,12,0.973486,0.746276,0.700303,4.349207,3.045762
437,0,3,13,0.985870,0.760818,0.735600,10.201124,7.503946
437,0,3,14,0.889809,0.867525,0.262417,1.219041,0.319897
437,0,3,15,0.959479,0.986954,0.868253,1.831967,1.590611
437,0,4,0,0.965826,0.923133,0.847162,2.187849,1.853463
437,0,4,1,0.874018,0.776520,0.284167,2.949089,0.838034
437,0,4,2,0.960058,0.961045,0.684422,0.795973,0.544781
437,0,4,3,0.957748,0.991775,1.027714,1.596702,1.640953
437,0,4,4,0.984880,0.736423,0.700939,5.402738,3.786992
437,0,4,5,0.943480,0.858041,0.554210,1.866070,1.034194
437,0,4,6,0.900036,0.802978,0.172597,1.691863,0.292011
437,0,4,7,0.971552,0.961668,0.714388,1.399908,1.000077
437,0,4,8,0.934263,0.452740,0.421226,2.501651,1.053761
437,0,4,9,0.954871,0.973746,0.616124,0.603441,0.371794
437,0,4,10,0.983647,0.743606,0.704031,9.024481,6.353511
437,0,4,11,0.917920,1.027711,1.875679,1.160450,2.176632
437,0,4,12,0.934619,0.928503,0.726912,1.327986,0.965328
437,0,4,13,0.977703,0.748668,0.711060,6.559134,4.663937
437,0,4,14,0.965200,0.971563,0.613185,1.027562,0.630086
437,0,4,15,0.945954,0.893960,0.408785,1.230057,0.502829
437,0,5,0,0.992421,0.806038,0.798072,13.622221,10.871518
437,0,5,1,0.923768,0.624008,0.503126,6.112175,3.075192
437,0,5,2,0.985146,0.682973,0.659975,10.678144,7.047312
437,0,5,3,0.960654,0.889364,0.717727,3.225153,2.314780
437,0,5,4,0.996752,0.881675,0.872650,11.729649,10.235880
437,0,5,5,0.988444,0.846926,0.828385,10.896212,9.026258
437,0,5,6,0.997558,0.910270,0.908461,17.815849,16.185007
437,0,5,7,0.870597,0.657636,0.368188,3.338734,1.229280
437,0,5,8,0.860627,0.633914,0.355788,3.755304,1.336091
437,0,5,9,0.947645,0.726886,0.624052,4.617910,2.881816
437,0,5,10,0.917709,0.850326,0.779674,4.056033,3.162385
437,0,5,11,0.951804,0.568328,0.516934,7.769861,4.016507
437,0,5,12,0.961010,0.579543,0.535134,4.979991,2.664961
437,0,5,13,0.975523,0.916977,0.801972,5.012308,4.019731
437,0,5,14,0.981732,0.686458,0.654727,8.999501,5.892215
437,0,5,15,0.813818,0.436199,0.294670,3.206093,0.944739
437,0,6,0,0.867968,0.607148,0.348227,3.928737,1.368093
437,0,6,1,0.921262,0.660139,0.555100,5.716725,3.173351
437,0,6,2,0.967827,0.876368,0.749856,4.730638,3.547297
437,0,6,3,0.956304,0.568925,0.533761,4.913591,2.622683
437,0,6,4,0.966208,0.704357,0.647835,6.327952,4.099472
437,0,6,5,0.892300,0.667318,0.489681,4.313738,2.112355
437,0,6,6,0.990240,0.789221,0.766753,13.706599,10.509580
437,0,6,7,0.984913,0.816721,0.799247,9.426136,7.533806
437,0,6,8,0.907684,0.763863,0.540196,4.490170,2.425570
437,0,6,9,0.994311,0.847729,0.831300,13.350813,11.098533
437,0,6,10,0.902550,0.785852,0.435802,2.619542,1.141602
437,0,6,11,0.980501,0.602631,0.587231,6.744956,3.960845
437,0,6,12,0.991256,0.822217,0.795251,14.254361,11.335801
437,0,6,13,0.508042,0.398126,-0.310527,1.861254,-0.577969
437,0,6,14,0.889179,0.713186,0.396556,3.340971,1.324883
437,0,6,15,0.928994,0.736631,0.483024,4.369273,2.110465
437,0,7,0,0.991595,0.796751,0.785510,12.065631,9.477670
437,0,7,1,0.912061,0.666598,0.546628,5.360479,2.930189
437,0,7,2,0.968252,0.923599,0.891155,3.204879,2.856044
437,0,7,3,0.984262,0.705881,0.684681,9.538674,6.530947
437,0,7,4,0.823579,0.479321,0.315440,6.504110,2.051658
437,0,7,5,0.864126,0.607170,0.405734,4.333765,1.758357
437,0,7,6,0.976926,0.726351,0.687183,11.319465,7.778548
437,0,7,7,0.965218,0.746223,0.661502,5.002271,3.309015
437,0,7,8,0.961477,0.859483,0.784425,7.442515,5.838091
437,0,7,9,0.988340,0.823839,0.812003,12.544493,10.186168
437,0,7,10,0.998652,0.911626,0.910435,28.413528,25.868670
437,0,7,11,0.972256,1.129665,1.255650,3.930794,4.935702
437,0,7,12,0.984472,0.727536,0.711326,13.683454,9.733401
437,0,7,13,0.937074,0.657313,0.610092,6.656189,4.060886
437,0,7,14,0.978241,0.697393,0.661668,6.381057,4.222141
437,0,7,15,0.616726,0.372802,0.048351,4.401322,0.212810
437,0,8,0,0.932781,0.712081,0.570963,4.437520,2.533657
437,0,8,1,0.926002,0.629459,0.516610,6.582910,3.400794
437,0,8,2,0.914992,0.589714,0.455539,5.551647,2.528994
437,0,8,3,0.930755,0.668421,0.554763,6.087920,3.377354
437,0,8,4,0.987804,0.978134,0.968108,13.801609,13.361443
437,0,8,5,-0.260054,-0.198305,-0.609279,1.276176,-0.777547
437,0,8,6,0.953122,0.732726,0.649101,4.918383,3.192527
437,0,8,7,0.984634,0.858870,0.796311,7.177712,5.715694
437,0,8,8,0.978503,0.920169,0.863469,5.412927,4.673892
437,0,8,9,0.949954,0.738093,0.617960,5.876671,3.631550
437,0,8,10,0.966688,0.741195,0.690524,7.505597,5.182795
437,0,8,11,0.965920,0.802728,0.723374,5.932329,4.291292
437,0,8,12,0.916212,0.631844,0.484675,5.209575,2.524951
437,0,8,13,0.968202,0.846724,0.760158,5.782698,4.395763
437,0,8,14,0.951327,0.714975,0.626177,5.340638,3.344186
437,0,8,15,0.483713,0.282918,-0.037826,3.455472,-0.130705
437,0,9,0,0.874758,0.694580,0.329248,3.451445,1.136383
437,0,9,1,0.561367,0.382427,-0.084980,3.236760,-0.275061
437,0,9,2,0.880493,0.744726,0.506297,2.842329,1.439063
437,0,9,3,0.969964,0.782031,0.728658,6.591893,4.803235
437,0,9,4,0.962684,0.817186,0.769706,5.677193,4.369772
437,0,9,5,0.977699,0.811435,0.782519,6.349595,4.968678
437,0,9,6,0.983302,0.845624,0.781542,8.764601,6.849904
437,0,9,7,0.985487,0.922278,0.902096,5.249204,4.735284
437,0,9,8,0.749901,0.366434,0.225860,5.171772,1.168096
437,0,9,9,0.973298,0.798160,0.698653,7.712888,5.388629
437,0,9,10,0.956471,0.744230,0.684467,7.158949,4.900066
437,0,9,11,0.924274,0.804745,0.668092,3.544971,2.368366
437,0,9,12,0.963087,0.636427,0.597766,9.194832,5.496357
437,0,9,13,0.907550,0.744587,0.570667,3.123532,1.782495
437,0,9,14,0.970074,0.828653,0.775037,6.318560,4.897120
437,0,9,15,0.989460,0.889449,0.841719,10.979430,9.241595
437,0,10,0,0.869758,0.543557,0.377346,6.273297,2.367207
437,0,10,1,0.996755,0.863816,0.862200,21.262987,18.332956
437,0,10,2,0.981567,0.899424,0.855612,6.466385,5.532716
437,0,10,3,0.978539,0.783905,0.746721,5.359895,4.002345
437,0,10,4,0.995224,0.884094,0.883528,7.279537,6.431675
437,0,10,5,0.985907,0.866560,0.851562,11.150606,9.495434
437,0,10,6,0.982112,0.766431,0.739187,11.834215,8.747701
437,0,10,7,0.987129,0.952617,0.925839,4.502209,4.168320
437,0,10,8,0.958212,0.794098,0.725201,6.732140,4.882152
437,0,10,9,0.988367,0.695459,0.685040,10.438256,7.150624
437,0,10,10,0.994917,0.776233,0.772790,15.366412,11.875012
437,0,10,11,0.973117,0.824820,0.766259,7.835292,6.003867
437,0,10,12,0.977018,0.868363,0.830183,6.419010,5.328953
437,0,10,13,0.992010,0.891897,0.886054,12.667772,11.224327
437,0,10,14,0.903638,0.550105,0.430286,7.293138,3.138135
437,0,10,15,0.942216,0.749194,0.695667,4.740603,3.297879
437,0,11,0,0.992754,0.981598,0.984429,7.781283,7.660120
437,0,11,1,0.984093,1.014897,0.997489,11.399216,11.370597
437,0,11,2,0.956434,0.802367,0.701567,5.489680,3.851380
437,0,11,3,0.422028,0.164455,0.048995,2.734016,0.133953
437,0,11,4,0.957923,0.681131,0.590182,5.939787,3.505556
437,0,11,5,0.956012,0.800058,0.708996,4.845921,3.435737
437,0,11,6,0.976977,0.624348,0.600924,10.943278,6.576080
437,0,11,7,0.898281,0.560947,0.428790,7.362873,3.157128
437,0,11,8,0.915410,0.708584,0.597910,4.425891,2.646286
437,0,11,9,0.983257,0.898344,0.867688,5.192482,4.505454
437,0,11,10,0.580055,0.336090,0.044525,4.197189,0.186881
437,0,11,11,0.960295,0.697930,0.647027,5.843312,3.780782
437,0,11,12,0.865836,0.500730,0.362235,6.906146,2.501645
437,0,11,13,0.983987,1.023105,1.018825,12.299555,12.531093
437,0,11,14,0.974812,0.825565,0.790728,6.170854,4.879468
437,0,11,15,0.985278,1.001503,0.986162,10.960563,10.808888
437,0,12,0,0.984704,1.805392,1.878218,-1.302989,-2.447298
437,0,12,1,0.983546,0.866030,0.838004,11.153091,9.346337
437,0,12,2,0.921505,0.690346,0.467404,3.346368,1.564106
437,0,12,3,0.998408,1.082558,1.083547,-3.623717,-3.926468
437,0,12,4,0.954804,0.713822,0.616149,4.849869,2.988243
437,0,12,5,0.872221,0.593898,0.449032,4.717984,2.118527
437,0,12,6,0.888904,0.636785,0.374365,3.377154,1.264288
437,0,12,7,0.808545,0.478386,0.316301,6.438450,2.036486
437,0,12,8,0.880257,0.528226,0.406942,6.929263,2.819807
437,0,12,9,0.983984,1.023726,1.019858,9.303397,9.488143
437,0,12,10,0.977940,0.862817,0.824054,3.849024,3.171805
437,0,12,11,0.912458,0.596101,0.499061,6.585233,3.286436
437,0,12,12,0.916802,0.697285,0.577959,5.221344,3.017723
437,0,12,13,0.946636,0.570376,0.520724,6.194949,3.225856
437,0,12,14,0.915692,0.595692,0.499252,7.056903,3.523174
437,0,12,15,0.730891,0.420220,0.223259,6.129549,1.368477
437,0,13,0,0.604549,0.291644,0.128967,7.016815,0.904938
437,0,13,1,0.828872,0.493029,0.330634,6.067738,2.006202
437,0,13,2,0.865048,0.640042,0.368488,3.789577,1.396414
437,0,13,3,0.780884,0.428739,0.262209,6.163466,1.616113
437,0,13,4,0.983565,0.726472,0.707446,11.693188,8.272304
437,0,13,5,0.968392,0.615315,0.582652,6.169735,3.594808
437,0,13,6,0.987596,0.930172,0.922003,9.806497,9.041617
437,0,13,7,0.666290,0.423610,0.076141,4.209733,0.320531
437,0,13,8,0.733738,0.504238,0.156770,4.294075,0.673180
437,0,13,9,0.787017,0.444993,0.274015,6.088709,1.668396
437,0,13,10,0.827809,0.508591,0.334122,4.980054,1.663947
437,0,13,11,0.751775,0.363510,0.248918,8.052487,2.004413
437,0,13,12,0.805655,0.416735,0.293409,7.073105,2.075315
437,0,13,13,0.609817,0.453523,-0.094781,2.495286,-0.236507
437,0,13,14,0.811982,0.423563,0.304403,6.941166,2.112913
437,0,13,15,0.973786,1.336170,1.432286,-1.566623,-2.243852
437,0,14,0,0.818930,0.573362,0.269917,4.170718,1.125746
437,0,14,1,0.976562,0.837715,0.815148,10.707994,8.728603
437,0,14,2,0.924182,0.567923,0.495266,7.478082,3.703637
437,0,14,3,0.821109,0.590739,0.305362,3.625408,1.107062
437,0,14,4,0.931970,0.558111,0.495836,8.329082,4.129861
437,0,14,5,0.653318,0.355775,0.145284,4.282729,0.622211
437,0,14,6,0.748933,0.520368,0.168369,3.901038,0.656812
437,0,14,7,0.915377,0.612009,0.569940,6.032751,3.438308
437,0,14,8,0.921862,0.646760,0.526436,5.361439,2.822456
437,0,14,9,0.768431,0.562612,0.146302,3.359065,0.491437
437,0,14,10,0.591076,0.380963,-0.007546,3.314863,-0.025014
437,0,14,11,0.927251,0.619253,0.512891,5.560848,2.852112
437,0,14,12,0.909161,0.667962,0.488192,4.515101,2.204237
437,0,14,13,0.818013,0.588267,0.248480,3.785820,0.940701
437,0,14,14,0.923475,0.578425,0.493429,6.692214,3.302130
437,0,14,15,0.888403,0.617785,0.420691,4.065702,1.710406
437,0,15,0,0.985936,0.864247,0.834104,6.003298,5.007374
437,0,15,1,0.963118,0.826482,0.738510,4.328846,3.196895
437,0,15,2,0.969392,0.791468,0.733181,6.160918,4.517067
437,0,15,3,0.971274,0.820864,0.762141,5.145758,3.921792
437,0,15,4,0.998004,1.057210,1.059991,-3.470201,-3.678383
437,0,15,5,0.974354,0.849085,0.835751,5.391962,4.506338
437,0,15,6,0.940484,1.426762,1.560133,1.839936,2.870544
437,0,15,7,0.936824,0.741016,0.611791,4.500066,2.753100
437,0,15,8,0.963388,0.789175,0.752768,5.594543,4.211394
437,0,15,9,0.971756,0.827679,0.753044,5.331920,4.015172
437,0,15,10,0.928209,1.054096,1.514566,-0.649044,-0.983021
437,0,15,11,0.960858,0.719011,0.650785,5.949985,3.872163
437,0,15,12,0.971673,0.973748,0.904961,6.141477,5.557796
437,0,15,13,0.947225,0.707632,0.593322,4.456278,2.644010
437,0,15,14,0.977288,0.804082,0.768541,5.563153,4.275510
437,0,15,15,0.794368,0.517885,0.302373,3.766682,1.138942
