class_id,seed,block,head,cosine,ls_scale,ratio,mean8_up,mean9
980,0,7,10,0.998628,0.912170,0.909233,27.101143,24.641266
980,0,12,3,0.998427,1.079023,1.080412,-3.707282,-4.005391
980,0,5,6,0.997912,0.909549,0.907145,18.143461,16.458755
980,0,5,4,0.997842,0.894216,0.886403,11.660670,10.336049
980,0,15,4,0.997734,1.064979,1.068335,-3.379498,-3.610436
980,0,10,1,0.997436,0.886818,0.885835,21.513180,19.057137
980,0,10,4,0.996252,0.896826,0.896740,7.682127,6.888872
980,0,0,15,0.996198,0.988730,0.972548,-3.132616,-3.046618
980,0,3,8,0.995220,0.978884,0.977459,9.763638,9.543559
980,0,10,10,0.995204,0.794761,0.790305,15.369788,12.146821
980,0,5,0,0.994986,0.818799,0.811806,14.027848,11.387887
980,0,1,6,0.994698,0.960077,0.936165,3.507612,3.283703
980,0,7,0,0.994481,0.815129,0.807460,11.754069,9.490938
980,0,11,0,0.994461,0.983926,0.985321,8.596812,8.470618
980,0,10,13,0.993482,0.898323,0.890505,12.266964,10.923795
980,0,0,10,0.992501,0.759993,0.747459,3.373219,2.521343
980,0,8,4,0.992092,0.992146,0.981802,12.502343,12.274826
980,0,7,9,0.991699,0.830603,0.814234,11.729383,9.550467
980,0,10,9,0.991624,0.736291,0.725430,9.763035,7.082397
980,0,3,5,0.990974,0.769417,0.758203,3.776125,2.863070
980,0,10,5,0.990897,0.881447,0.864599,11.162634,9.651207
980,0,11,13,0.990648,1.038933,1.037306,11.514444,11.944007
980,0,11,9,0.990375,0.925245,0.890966,5.122944,4.564369
980,0,6,7,0.990271,0.829229,0.804477,9.261547,7.450700
980,0,11,15,0.990093,1.008708,1.001862,10.897269,10.917559
980,0,1,15,0.989805,0.859525,0.842858,6.492099,5.471916
980,0,12,0,0.989438,1.802519,1.849995,-1.370071,-2.534624
980,0,11,1,0.988875,0.999300,0.986154,11.233801,11.078261
980,0,1,1,0.988692,0.964478,0.975859,2.761042,2.694388
980,0,12,9,0.988656,1.031314,1.033005,8.866778,9.159426
980,0,9,15,0.988488,0.898492,0.834977,10.733210,8.961986
980,0,13,6,0.988201,0.943842,0.930205,9.298800,8.649788
980,0,6,9,0.987778,0.817188,0.769309,11.397485,8.768193
980,0,8,7,0.987035,0.874669,0.822418,6.779268,5.575391
980,0,2,1,0.986592,0.873739,0.808376,2.174432,1.757759
980,0,0,1,0.986584,0.983832,0.991555,-1.144765,-1.135098
980,0,5,2,0.985745,0.677598,0.654349,10.580075,6.923062
980,0,9,7,0.985522,0.923403,0.905242,5.104971,4.621232
980,0,15,0,0.985453,0.866392,0.837211,5.963378,4.992604
980,0,3,9,0.985412,0.702901,0.677968,4.563636,3.093997
980,0,7,12,0.985337,0.719702,0.697385,12.879944,8.982275
980,0,10,7,0.985187,0.943043,0.909515,4.866381,4.426048
980,0,0,7,0.985058,1.040466,1.087962,-1.401071,-1.524312
980,0,6,6,0.984351,0.769357,0.724740,12.604164,9.134741
980,0,7,3,0.984040,0.673621,0.647188,8.854434,5.730480
980,0,10,3,0.983442,0.800298,0.749616,5.298981,3.972199
980,0,5,5,0.983171,0.830791,0.790867,9.288103,7.345656
980,0,6,12,0.983039,0.835523,0.753192,12.838228,9.669654
980,0,10,2,0.982490,0.895032,0.854190,6.504682,5.556234
980,0,12,1,0.982311,0.868596,0.824075,10.149301,8.363786
980,0,9,6,0.981945,0.847472,0.774218,8.213819,6.359282
980,0,2,5,0.981510,0.703862,0.664520,6.729175,4.471670
980,0,4,4,0.981492,0.737247,0.682916,5.332623,3.641732
980,0,12,10,0.981445,0.866665,0.818402,3.839028,3.141870
980,0,13,4,0.980694,0.718677,0.692661,11.087380,7.679801
980,0,2,11,0.980545,0.798943,0.736112,3.590240,2.642820
980,0,9,5,0.979081,0.829370,0.803880,6.605265,5.309842
980,0,8,13,0.978921,0.862193,0.810409,7.008738,5.679946
980,0,6,11,0.978694,0.565585,0.556488,6.858835,3.816859
980,0,3,13,0.978488,0.726058,0.683461,9.971115,6.814866
980,0,5,14,0.978422,0.676231,0.635523,8.483480,5.391448
980,0,8,8,0.977988,0.918453,0.856701,5.305055,4.544848
980,0,7,11,0.977733,1.111562,1.206627,4.007393,4.835429
980,0,4,10,0.977533,0.753427,0.678048,8.166389,5.537200
980,0,14,1,0.977072,0.835695,0.814454,10.795995,8.792843
980,0,13,15,0.976897,1.336644,1.413399,-1.662542,-2.349835
980,0,10,12,0.976238,0.862255,0.823940,6.470840,5.331584
980,0,5,13,0.976088,0.913553,0.806736,5.166119,4.167693
980,0,7,7,0.976013,0.771245,0.711059,5.168301,3.674966
980,0,10,6,0.975619,0.780565,0.719962,10.330879,7.437845
980,0,11,14,0.975381,0.837667,0.801505,6.157409,4.935195
980,0,6,4,0.975191,0.730819,0.685263,6.583972,4.511754
980,0,8,10,0.974595,0.760917,0.720154,7.839785,5.645854
980,0,7,2,0.974473,0.954216,0.956588,3.480543,3.329446
980,0,15,5,0.974371,0.853338,0.843650,5.335028,4.500895
980,0,9,4,0.974280,0.845427,0.810674,6.168969,5.001020
980,0,8,11,0.973990,0.825894,0.752052,5.895543,4.433756
980,0,11,6,0.973989,0.619749,0.586260,10.431026,6.115295
980,0,4,7,0.972269,0.961828,0.727376,1.427093,1.038034
980,0,3,12,0.972039,0.746065,0.676888,4.359000,2.950554
980,0,9,3,0.971930,0.807744,0.748241,6.371468,4.767395
980,0,15,12,0.970906,0.968888,0.898971,6.230065,5.600645
980,0,15,9,0.970772,0.828113,0.752772,5.304794,3.993302
980,0,15,2,0.970324,0.794793,0.740181,6.178780,4.573417
980,0,8,6,0.970297,0.765557,0.702270,5.561592,3.905741
980,0,0,3,0.970102,1.092246,1.204429,-1.840090,-2.216257
980,0,15,3,0.969881,0.822236,0.762983,5.049994,3.853062
980,0,7,14,0.969721,0.695370,0.624062,5.794151,3.615909
980,0,10,11,0.969587,0.813902,0.748163,8.040853,6.015868
980,0,12,4,0.968320,0.742514,0.669997,5.082579,3.405313
980,0,11,11,0.967927,0.706515,0.664089,6.113138,4.059668
980,0,6,2,0.967550,0.875775,0.747259,4.717152,3.524933
980,0,4,14,0.967264,0.973448,0.660697,1.045261,0.690601
980,0,0,8,0.967122,0.930734,0.916132,1.443102,1.322072
980,0,9,10,0.966589,0.771544,0.727889,7.812879,5.686908
980,0,4,0,0.966407,0.932087,0.880458,2.074305,1.826338
980,0,0,9,0.966332,1.053847,1.301601,-0.941132,-1.224978
980,0,9,9,0.966264,0.795962,0.663324,7.104257,4.712420
980,0,4,13,0.965952,0.694191,0.626478,5.563046,3.485129
980,0,8,14,0.965812,0.740940,0.665121,5.696759,3.789036
980,0,15,14,0.964730,0.751122,0.697863,5.423331,3.784741
980,0,7,6,0.964529,0.709206,0.635391,9.931880,6.310630
980,0,13,5,0.963482,0.609005,0.558236,5.881660,3.283352
980,0,4,2,0.963403,0.968636,0.742113,0.834857,0.619558
980,0,9,14,0.963380,0.832836,0.751715,5.885706,4.424374
980,0,15,1,0.962802,0.831795,0.747117,4.328622,3.233989
980,0,2,3,0.962152,1.002767,-0.806589,0.192960,-0.155639
980,0,15,11,0.961932,0.725986,0.661541,5.982538,3.957692
980,0,15,8,0.961791,0.787103,0.749855,5.554909,4.165373
980,0,7,8,0.961057,0.881011,0.804275,7.064663,5.681932
980,0,5,3,0.960732,0.883687,0.721363,3.308051,2.386306
980,0,11,2,0.959691,0.808859,0.722966,5.945364,4.298293
