block,head,n,n_images,frac,cosine_mean,a_mean,a_std,a_min,a_max,a_range,ratio_mean,ratio_std
0,1,22,22,1.0,0.946354,0.854775,0.015642,0.827316,0.886124,0.058808,0.625255,0.050166
0,2,22,22,1.0,0.958476,0.883957,0.036447,0.833093,0.978814,0.145721,1.282917,1.498402
0,3,22,22,1.0,0.957787,1.012606,0.0463,0.932849,1.094593,0.161744,1.199534,0.194688
0,4,8,22,0.363636,0.912657,0.900736,0.07518,0.833959,1.02416,0.190202,1.211324,0.438097
0,6,22,22,1.0,0.947112,0.959227,0.001699,0.954241,0.961317,0.007077,0.639301,0.036719
0,7,22,22,1.0,0.98825,1.045425,0.02195,0.995402,1.073828,0.078425,1.073376,0.031882
0,8,22,22,1.0,0.956111,0.814851,0.032281,0.743836,0.867404,0.123568,0.777493,0.035425
0,9,10,22,0.454545,0.947969,1.057512,0.05148,0.954536,1.139828,0.185292,1.783983,1.301745
0,10,22,22,1.0,0.961978,0.902492,0.020822,0.860271,0.940976,0.080705,0.994386,0.326779
0,12,4,22,0.181818,0.917592,0.7744,0.021736,0.746608,0.797727,0.051119,0.728447,0.033915
0,13,22,22,1.0,0.975303,1.044998,0.021319,1.016191,1.094529,0.078338,1.09185,0.055181
0,14,22,22,1.0,0.95495,0.876214,0.08933,0.752938,1.055161,0.302223,0.886609,0.301747
0,15,22,22,1.0,0.990751,1.011712,0.003352,1.00595,1.017281,0.01133,1.223722,0.029642
1,0,22,22,1.0,0.979743,1.006091,0.008259,0.991502,1.020701,0.0292,1.111818,0.02605
1,1,22,22,1.0,0.982295,0.956035,0.023923,0.892781,0.994102,0.101321,0.929462,0.054761
1,2,22,22,1.0,0.967944,0.987176,0.025035,0.917233,1.038526,0.121293,1.120938,0.118789
1,4,22,22,1.0,0.961689,0.919701,0.025126,0.875171,0.960636,0.085465,1.119129,0.378683
1,5,22,22,1.0,0.92347,1.200744,0.006844,1.188006,1.21401,0.026004,2.092796,0.062033
1,6,22,22,1.0,0.98694,0.976639,0.015581,0.937602,0.999216,0.061614,0.973543,0.028002
1,7,22,22,1.0,0.954906,0.982052,0.003134,0.976906,0.98844,0.011534,1.257851,0.044165
1,8,22,22,1.0,0.926407,1.058374,0.009089,1.037959,1.069366,0.031408,3.045863,0.298678
1,9,22,22,1.0,0.940414,0.939354,0.01528,0.898669,0.959072,0.060402,0.474242,0.167745
1,10,22,22,1.0,0.953319,0.959416,0.002428,0.955418,0.963763,0.008345,0.77494,0.091031
1,11,22,22,1.0,0.966741,0.962513,0.002103,0.958711,0.966035,0.007324,0.681811,0.023697
1,12,22,22,1.0,0.955913,1.082154,0.026107,1.039447,1.124154,0.084707,1.604618,0.171813
1,13,22,22,1.0,0.961207,0.880489,0.028943,0.808086,0.919366,0.11128,0.876808,0.09925
1,15,22,22,1.0,0.968858,1.187646,0.03162,1.109353,1.250248,0.140895,1.289355,0.067318
2,0,22,22,1.0,0.962423,0.950563,0.002536,0.945882,0.954858,0.008976,0.877755,0.013113
2,1,22,22,1.0,0.962702,0.959253,0.019823,0.919078,0.997916,0.078837,0.973815,0.033932
2,2,22,22,1.0,0.962191,1.028694,0.002161,1.024694,1.033435,0.00874,2.226237,0.16322
2,3,22,22,1.0,0.965711,1.043718,0.002154,1.039746,1.048446,0.0087,2.111828,0.183333
2,4,22,22,1.0,0.942997,1.058816,0.040939,0.976387,1.129818,0.153431,1.679229,0.432276
2,5,22,22,1.0,0.983351,0.999016,0.019048,0.958178,1.037316,0.079138,0.990795,0.025405
2,6,22,22,1.0,0.955351,1.061787,0.005716,1.050745,1.075959,0.025215,1.148861,0.021693
2,7,22,22,1.0,0.960753,1.021128,0.002189,1.016217,1.026049,0.009832,1.826623,0.120122
2,8,22,22,1.0,0.941207,0.958273,0.042164,0.889499,1.034285,0.144785,4.707008,15.622289
2,9,22,22,1.0,0.979759,0.879384,0.005822,0.862135,0.887005,0.02487,0.825272,0.011975
2,10,22,22,1.0,0.918656,1.025774,0.013403,0.994244,1.043329,0.049085,2.882458,0.742729
2,11,22,22,1.0,0.983473,1.0472,0.026128,0.997396,1.107013,0.109617,1.117274,0.063481
2,12,22,22,1.0,0.961574,1.031835,0.002695,1.025761,1.036033,0.010272,2.186476,0.128831
2,13,22,22,1.0,0.938587,0.957545,0.026577,0.907205,1.003588,0.096382,0.879872,0.114908
2,14,22,22,1.0,0.934809,0.978616,0.009039,0.962289,0.99141,0.029121,1.149865,0.04228
2,15,22,22,1.0,0.947381,1.045613,0.005555,1.032173,1.052809,0.020636,3.868093,1.326548
3,0,22,22,1.0,0.937988,0.981993,0.008812,0.967084,0.998746,0.031661,1.060935,0.097927
