block,head,n,n_images,frac,cosine_mean,a_mean,a_std,a_min,a_max,a_range,ratio_mean,ratio_std
0,1,200,200,1.0,0.94622,0.859885,0.017452,0.815514,0.921951,0.106437,0.611911,0.059043
0,2,200,200,1.0,0.961925,0.893144,0.032258,0.815077,0.990773,0.175696,0.920354,3.655196
0,3,194,200,0.97,0.963132,1.010282,0.034989,0.935858,1.144132,0.208275,1.153254,0.178073
0,4,58,200,0.29,0.91585,0.915,0.061354,0.744015,1.047534,0.303519,1.076306,0.147061
0,5,5,200,0.025,0.901304,0.73929,0.025719,0.71065,0.777856,0.067206,0.496866,0.039258
0,6,200,200,1.0,0.947366,0.959608,0.001616,0.955768,0.964214,0.008446,0.644751,0.030352
0,7,200,200,1.0,0.987539,1.046114,0.015845,0.99902,1.084836,0.085816,1.076346,0.022888
0,8,200,200,1.0,0.954347,0.812635,0.027077,0.752681,0.875243,0.122562,0.771728,0.031625
0,9,106,200,0.53,0.939623,1.061394,0.046771,0.901613,1.180718,0.279105,1.901643,3.6618
0,10,200,200,1.0,0.962122,0.897153,0.018805,0.847385,0.949324,0.101939,1.379998,9.013219
0,12,13,200,0.065,0.91576,0.780463,0.024807,0.738187,0.819091,0.080904,0.736664,0.040333
0,13,200,200,1.0,0.972962,1.040671,0.022173,1.004633,1.118298,0.113666,1.098991,0.098405
0,14,199,200,0.995,0.951459,0.87777,0.074413,0.64713,1.23106,0.58393,0.619312,3.832731
0,15,200,200,1.0,0.990803,1.011427,0.002828,1.001595,1.018962,0.017368,1.21763,0.030038
1,0,200,200,1.0,0.979814,1.005185,0.008105,0.990078,1.038408,0.04833,1.102421,0.025651
1,1,200,200,1.0,0.9768,0.951252,0.025032,0.881163,1.002418,0.121255,0.933997,0.049108
1,2,200,200,1.0,0.973149,0.989557,0.02204,0.934763,1.092614,0.157851,1.061258,0.088725
1,3,13,200,0.065,0.901228,1.103816,0.006059,1.094275,1.112458,0.018183,4.287822,0.423871
1,4,200,200,1.0,0.961632,0.922113,0.025718,0.825709,0.991076,0.165367,0.163278,11.238989
1,5,200,200,1.0,0.923773,1.201287,0.007692,1.180002,1.226806,0.046804,2.087651,0.084366
1,6,200,200,1.0,0.984748,0.982763,0.014597,0.922204,1.011524,0.08932,0.991217,0.030111
1,7,200,200,1.0,0.95515,0.982448,0.004255,0.974069,1.009951,0.035882,1.251437,0.044964
1,8,200,200,1.0,0.926009,1.061327,0.010127,1.020056,1.095257,0.075201,3.024303,0.393507
1,9,200,200,1.0,0.94005,0.938699,0.012897,0.90569,0.960591,0.054901,0.418618,0.160854
1,10,200,200,1.0,0.954071,0.959167,0.002135,0.950715,0.963974,0.013259,0.793676,0.08212
1,11,200,200,1.0,0.967277,0.962737,0.00233,0.952942,0.968069,0.015127,0.689215,0.023782
1,12,200,200,1.0,0.954006,1.07927,0.032094,0.96917,1.14839,0.17922,1.553484,2.255088
1,13,200,200,1.0,0.96421,0.879541,0.019261,0.811226,0.921327,0.110101,0.887249,0.099311
1,15,200,200,1.0,0.963282,1.190317,0.033455,1.108861,1.327346,0.218485,1.322093,0.091812
2,0,200,200,1.0,0.962935,0.95007,0.002764,0.943022,0.963569,0.020547,0.880318,0.010759
2,1,200,200,1.0,0.959469,0.95905,0.017718,0.902159,1.00938,0.107221,0.971154,0.040707
2,2,200,200,1.0,0.962531,1.028159,0.002563,1.021573,1.03867,0.017097,2.144347,0.136363
2,3,200,200,1.0,0.966159,1.043492,0.002843,1.035794,1.050238,0.014445,2.047089,0.120921
2,4,195,200,0.975,0.944486,1.057924,0.051161,0.879423,1.182806,0.303383,1.602646,0.943112
2,5,200,200,1.0,0.981595,0.999185,0.016863,0.958178,1.050615,0.092437,0.992311,0.024316
2,6,200,200,1.0,0.955626,1.06059,0.004046,1.050291,1.072762,0.022471,1.147223,0.01854
2,7,200,200,1.0,0.961177,1.020759,0.002516,1.014738,1.028406,0.013669,1.782759,0.092682
2,8,199,200,0.995,0.93818,0.948936,0.041983,0.811341,1.05819,0.246848,-0.18123,15.606409
2,9,200,200,1.0,0.979759,0.87774,0.005033,0.862062,0.891566,0.029504,0.823741,0.01005
2,10,200,200,1.0,0.919061,1.024849,0.011179,0.98449,1.049654,0.065164,2.822281,0.695688
2,11,200,200,1.0,0.983891,1.046679,0.023716,0.983746,1.115927,0.132181,1.105925,0.065767
2,12,200,200,1.0,0.961994,1.032158,0.002673,1.026469,1.040407,0.013938,2.120065,0.11854
2,13,200,200,1.0,0.940703,0.95328,0.024266,0.884443,1.034537,0.150094,0.837191,0.502612
2,14,200,200,1.0,0.934326,0.977109,0.009987,0.948345,1.014293,0.065948,1.155348,0.056688
2,15,200,200,1.0,0.947435,1.047972,0.004294,1.033098,1.059927,0.026829,3.455942,0.523641
3,0,200,200,1.0,0.936593,0.976786,0.008951,0.949766,1.005139,0.055374,1.034053,0.061514
3,1,200,200,1.0,0.957382,0.937061,0.004164,0.924829,0.948612,0.023783,0.84953,0.020553
3,2,200,200,1.0,0.932555,0.955357,0.005372,0.942124,0.971319,0.029195,0.639942,0.054673
3,3,200,200,1.0,0.957382,0.958646,0.005016,0.947894,0.974453,0.02656,0.669531,0.019748
3,4,200,200,1.0,0.923504,0.894689,0.005503,0.879261,0.913709,0.034448,0.746888,0.01382
3,5,200,200,1.0,0.979009,1.114338,0.02143,1.056109,1.158618,0.102508,1.222054,0.063226
3,6,200,200,1.0,0.965181,0.982728,0.003001,0.974924,0.992579,0.017654,0.910927,0.022129
3,7,200,200,1.0,0.954918,0.98953,0.004995,0.976236,1.001825,0.025589,1.552577,0.095023
3,8,200,200,1.0,0.991214,1.029982,0.014261,0.995844,1.069212,0.073367,1.042091,0.018249
3,9,200,200,1.0,0.9828,1.056127,0.025602,0.986969,1.17232,0.18535,1.108723,0.04968
3,10,28,200,0.14,0.904063,0.802199,0.008159,0.780921,0.823562,0.042641,0.568,0.020187
3,12,200,200,1.0,0.977161,0.977822,0.016874,0.903385,1.019341,0.115956,0.957642,0.026423
3,13,200,200,1.0,0.986551,1.096023,0.019782,1.051351,1.151638,0.100287,1.114771,0.029217
3,14,200,200,1.0,0.937438,0.973957,0.004841,0.9592,0.99033,0.03113,0.868535,0.043044
3,15,200,200,1.0,0.975723,0.974905,0.005333,0.943071,0.984088,0.041017,0.865672,0.020014
4,0,200,200,1.0,0.964495,0.934006,0.006496,0.915968,0.953779,0.037811,0.901338,0.022772
4,1,200,200,1.0,0.976958,1.088537,0.013416,1.05504,1.123663,0.068623,1.11496,0.045278
4,2,200,200,1.0,0.957156,1.014602,0.003667,1.004703,1.023473,0.01877,1.304595,0.06242
4,3,200,200,1.0,0.968269,1.046419,0.01064,1.019921,1.078872,0.058951,1.1037,0.023516
4,4,200,200,1.0,0.988701,1.053698,0.014241,1.02194,1.113522,0.091581,1.072643,0.023269
4,5,200,200,1.0,0.95924,1.126374,0.011553,1.094186,1.151116,0.056931,1.514298,0.046389
4,6,200,200,1.0,0.955461,1.10306,0.009826,1.059769,1.12831,0.068541,1.684627,0.072133
4,7,200,200,1.0,0.974318,0.957161,0.004055,0.946713,0.967434,0.020722,0.789056,0.013297
4,8,3,200,0.015,0.905779,0.772701,0.023185,0.746042,0.788148,0.042106,2.281942,1.48471
4,9,200,200,1.0,0.963827,1.016455,0.003181,1.007952,1.025424,0.017471,1.022644,0.027195
4,10,200,200,1.0,0.990032,1.001685,0.015516,0.960035,1.041629,0.081593,1.001593,0.020386
4,11,200,200,1.0,0.980861,0.930973,0.005735,0.917926,0.944308,0.026382,0.934356,0.00862
4,12,200,200,1.0,0.958108,0.961345,0.003029,0.954114,0.968678,0.014564,0.890277,0.009048
4,13,200,200,1.0,0.979643,1.065808,0.027481,1.008859,1.166617,0.157758,1.096268,0.047094
4,14,200,200,1.0,0.974773,0.991754,0.003433,0.982574,1.001389,0.018815,0.837963,0.012357
4,15,200,200,1.0,0.951446,1.093386,0.009893,1.061448,1.111581,0.050133,1.580395,0.062841
5,0,200,200,1.0,0.991485,0.997299,0.011277,0.969387,1.03343,0.064043,1.002463,0.013394
5,1,140,200,0.7,0.912689,0.751486,0.012435,0.72018,0.79487,0.07469,0.619787,0.028303
5,2,200,200,1.0,0.984934,0.929759,0.013878,0.890291,0.964788,0.074497,0.931116,0.018487
5,3,200,200,1.0,0.980007,0.938732,0.007404,0.916105,0.959764,0.043659,0.837155,0.025162
5,4,200,200,1.0,0.995482,1.040495,0.014161,1.009944,1.085956,0.076012,1.048303,0.017903
5,5,200,200,1.0,0.990363,1.004767,0.013623,0.975908,1.057644,0.081736,1.005523,0.01663
5,6,200,200,1.0,0.995865,1.060482,0.018001,1.024266,1.121712,0.097447,1.067357,0.022932
5,7,200,200,1.0,0.947089,1.102167,0.008776,1.078187,1.126666,0.048479,1.349942,0.048003
5,8,200,200,1.0,0.965612,1.074655,0.00933,1.040404,1.100033,0.059629,1.195598,0.038922
5,9,200,200,1.0,0.97355,1.022241,0.014826,0.98307,1.053374,0.070304,1.063825,0.028727
5,10,200,200,1.0,0.963218,0.80648,0.006326,0.788333,0.820798,0.032465,0.746694,0.008758
