class_id,seed,block,head,cosine,ls_scale,ratio,mean8_up,mean9
0,0,0,0,0.831519,0.903819,-2.738024,-0.246470,0.674840
0,0,0,1,0.951759,0.870331,0.672444,-0.590353,-0.396979
0,0,0,2,0.958437,0.852976,0.859008,0.845119,0.725964
0,0,0,3,0.967580,1.037154,1.159177,-1.629974,-1.889429
0,0,0,4,0.896125,0.944849,1.423887,-0.621673,-0.885193
0,0,0,5,0.849620,0.775321,0.110664,1.011917,0.111983
0,0,0,6,0.946131,0.958786,0.621416,1.425191,0.885636
0,0,0,7,0.987468,1.053827,1.093623,-1.725634,-1.887193
0,0,0,8,0.942576,0.806180,0.746856,1.467251,1.095825
0,0,0,9,0.892360,0.923334,-5.631432,0.063037,-0.354990
0,0,0,10,0.951856,0.912988,1.164836,0.171197,0.199417
0,0,0,11,0.809332,0.926843,-71.835352,-0.015153,1.088503
0,0,0,12,0.854246,0.754517,0.411030,0.835995,0.343619
0,0,0,13,0.980233,1.012398,1.014087,-1.993897,-2.021985
0,0,0,14,0.936874,0.889117,0.875107,0.276621,0.242073
0,0,0,15,0.990911,1.015030,1.190514,-0.433773,-0.516413
0,0,1,0,0.979259,1.011148,1.106359,0.561644,0.621380
0,0,1,1,0.980730,0.947515,0.923935,1.185002,1.094865
0,0,1,2,0.981390,0.996948,1.038407,1.844406,1.915243
0,0,1,3,0.896592,1.085782,5.441325,0.241562,1.314419
0,0,1,4,0.954997,0.911413,1.019200,0.231324,0.235765
0,0,1,5,0.922527,1.185851,2.157851,0.980700,2.116205
0,0,1,6,0.979145,0.952446,0.913678,1.533514,1.401138
0,0,1,7,0.954375,0.979668,1.273344,0.790716,1.006853
0,0,1,8,0.931358,1.052803,2.838508,0.395174,1.121706
0,0,1,9,0.941582,0.947414,0.512155,-0.471788,-0.241629
0,0,1,10,0.951957,0.962516,0.742784,0.967625,0.718737
0,0,1,11,0.965854,0.962008,0.669853,1.654845,1.108503
0,0,1,12,0.940557,1.004434,3.046638,-0.132010,-0.402185
0,0,1,13,0.969553,0.890848,0.886403,1.559175,1.382058
0,0,1,14,0.613795,0.461253,0.000559,-0.636647,-0.000356
0,0,1,15,0.968324,1.133539,1.244978,2.805649,3.492970
0,0,2,0,0.963373,0.944223,0.871943,2.487260,2.168749
0,0,2,1,0.952949,0.980510,1.154380,0.536334,0.619133
0,0,2,2,0.962291,1.028559,2.295347,0.274683,0.630493
0,0,2,3,0.965462,1.043387,2.186583,0.289753,0.633569
0,0,2,4,0.952746,1.086727,1.432174,0.599278,0.858271
0,0,2,5,0.978999,1.012064,1.002876,3.192591,3.201772
0,0,2,6,0.953997,1.062784,1.162374,1.366515,1.588402
0,0,2,7,0.960790,1.021298,1.860885,0.370299,0.689084
