block,head,n,n_images,frac,cosine_mean,a_mean,a_std,a_min,a_max,a_range,ratio_mean,ratio_std
0,1,22,22,1.0,0.985864,0.989424,0.015721,0.952102,1.01888,0.066778,1.009745,0.018052
0,2,20,22,0.909091,0.954357,0.71777,0.023639,0.680365,0.762994,0.082629,0.569406,0.085103
0,3,22,22,1.0,0.975367,1.072276,0.043891,1.003117,1.151276,0.148158,1.147796,0.07624
0,4,17,22,0.772727,0.940503,0.972395,0.055281,0.884762,1.047106,0.162344,1.162185,0.164435
0,6,22,22,1.0,0.904471,0.989481,0.00181,0.984599,0.992464,0.007864,0.642509,0.051397
0,7,22,22,1.0,0.983582,1.036056,0.016864,1.006861,1.065302,0.058442,1.110893,0.039501
0,8,22,22,1.0,0.953519,0.910172,0.032171,0.847726,0.964117,0.11639,0.879107,0.0418
0,9,7,22,0.318182,0.951432,1.045393,0.062037,0.916117,1.110661,0.194543,1.832286,1.175831
0,10,21,22,0.954545,0.962221,0.718242,0.034748,0.671474,0.777951,0.106477,0.599946,0.135854
0,12,5,22,0.227273,0.927215,0.499197,0.022916,0.462129,0.518325,0.056197,0.444236,0.030746
0,13,22,22,1.0,0.952447,1.06562,0.029466,1.020569,1.120085,0.099516,1.94229,0.504094
0,14,21,22,0.954545,0.95623,0.884329,0.145795,0.647395,1.120917,0.473522,-0.682937,5.561119
0,15,22,22,1.0,0.996074,0.989016,0.003753,0.983046,0.994925,0.011879,0.971796,0.005137
1,0,22,22,1.0,0.95275,1.002681,0.002905,0.99427,1.006662,0.012392,35.532305,290.010073
1,1,22,22,1.0,0.988089,0.958236,0.018233,0.913678,0.987295,0.073617,0.956625,0.025173
1,2,22,22,1.0,0.9677,0.71987,0.021231,0.674803,0.75229,0.077486,0.658564,0.059521
1,3,3,22,0.136364,0.900982,0.976109,0.002903,0.972999,0.978748,0.005748,-0.21047,0.197081
1,4,18,22,0.818182,0.954128,0.685425,0.070446,0.562304,0.782105,0.219801,0.596373,0.099319
1,6,22,22,1.0,0.993399,0.96846,0.012161,0.93861,0.985859,0.047249,0.956789,0.017456
1,7,22,22,1.0,0.952042,0.926835,0.002907,0.92129,0.932536,0.011246,0.216689,0.430571
