class_id,seed,block,head,cosine,ls_scale,ratio,mean8_up,mean9
980,0,0,0,0.799291,0.811480,0.885684,0.409326,0.362533
980,0,0,1,0.961376,0.917993,0.801776,-0.833113,-0.667971
980,0,0,2,0.932372,0.791149,0.082613,0.397671,0.032853
980,0,0,3,0.959632,1.053965,1.240110,-1.236496,-1.533391
980,0,0,4,0.926575,1.035716,1.241511,-0.970910,-1.205395
980,0,0,5,0.810251,0.736306,0.019359,1.089840,0.021098
980,0,0,6,0.931394,0.969208,0.685022,1.174066,0.804260
980,0,0,7,0.988051,1.047835,1.076391,-1.640844,-1.766190
980,0,0,8,0.970251,0.872590,0.854299,1.742937,1.488989
980,0,0,9,0.970216,1.049402,1.183842,-1.222170,-1.446856
980,0,0,10,0.984889,0.811419,0.815856,2.665288,2.174490
980,0,0,11,0.799491,0.854928,1.590087,0.369339,0.587282
980,0,0,12,0.817314,0.490376,0.346684,1.742217,0.603998
980,0,0,13,0.958983,1.055288,1.406627,-0.945778,-1.330356
980,0,0,14,0.952865,1.080041,1.330560,-0.861912,-1.146826
980,0,0,15,0.993726,0.998225,1.008220,-1.459459,-1.471456
980,0,1,0,0.971665,1.001130,0.790060,0.196837,0.155513
980,0,1,1,0.987808,0.968024,0.968402,2.617398,2.534694
980,0,1,2,0.935284,0.808411,0.804789,1.115777,0.897965
980,0,1,3,0.895507,1.041685,2.606071,0.301227,0.785020
980,0,1,4,0.953599,0.799487,0.752829,1.220283,0.918664
980,0,1,5,0.899260,1.089420,1.491538,1.012220,1.509765
980,0,1,6,0.992829,0.962221,0.935484,2.803319,2.622458
980,0,1,7,0.954585,0.957005,1.038480,0.628029,0.652195
980,0,1,8,0.903535,1.010082,1.324952,0.341654,0.452675
980,0,1,9,0.938109,0.941604,-1.891525,-0.096098,0.181772
980,0,1,10,0.946248,0.961623,0.946090,1.203000,1.138147
980,0,1,11,0.961634,0.986044,0.797005,0.997538,0.795043
980,0,1,12,0.950871,1.063674,1.457033,-0.647994,-0.944149
980,0,1,13,0.955309,0.803125,0.704531,1.294933,0.912321
980,0,1,14,0.261015,0.195731,0.748701,0.477194,0.357276
980,0,1,15,0.967743,0.969529,1.049032,4.464365,4.683264
980,0,2,0,0.957411,0.959543,0.902571,2.015473,1.819107
980,0,2,1,0.974758,0.912380,0.892397,1.482321,1.322819
980,0,2,2,0.957421,1.013085,1.040747,0.252198,0.262474
980,0,2,3,0.963684,1.024582,1.311256,0.264831,0.347262
980,0,2,4,0.774402,0.544592,0.560522,1.009205,0.565681
980,0,2,5,0.971377,0.794628,0.792473,4.966849,3.936096
980,0,2,6,0.948959,1.031236,1.001590,1.349444,1.351590
980,0,2,7,0.953697,1.002113,1.049868,0.358105,0.375964
980,0,2,8,0.864651,0.597831,0.559865,0.708789,0.396826
980,0,2,9,0.969187,0.898409,0.835842,3.768819,3.150137
980,0,2,10,0.910831,0.980482,1.412095,0.453166,0.639913
980,0,2,11,0.972839,0.900470,0.912480,2.564458,2.340017
980,0,2,12,0.958574,1.016579,1.311891,0.245376,0.321906
980,0,2,13,0.899815,0.853468,0.414903,0.609168,0.252745
980,0,2,14,0.920103,0.958276,1.699401,-0.468540,-0.796238
980,0,2,15,0.945701,1.023307,1.777384,0.176684,0.314036
980,0,3,0,0.792574,0.671476,0.397005,2.143526,0.850991
980,0,3,1,0.957655,0.932687,0.822525,2.306650,1.897278
980,0,3,2,0.916975,0.924135,0.376147,0.980046,0.368641
980,0,3,3,0.944708,0.962726,0.267082,0.676763,0.180751
980,0,3,4,0.928334,0.911458,0.790001,2.406929,1.901476
980,0,3,5,0.971141,0.892220,0.946076,2.680615,2.536066
980,0,3,6,0.962553,0.980976,0.924671,1.976993,1.828069
980,0,3,7,0.945622,0.934484,0.922093,0.881639,0.812954
980,0,3,8,0.993956,1.011258,1.019148,8.923088,9.093951
980,0,3,9,0.965028,0.833330,0.874047,3.371401,2.946763
980,0,3,10,0.900787,0.883946,0.612764,2.360117,1.446194
980,0,3,11,0.822002,0.967078,1.640239,0.592046,0.971097
980,0,3,12,0.970069,0.839879,0.801769,3.360732,2.694532
