block,head,n,n_images,frac,cosine_mean,a_mean,a_std,a_min,a_max,a_range,ratio_mean,ratio_std
0,1,22,22,1.0,0.965467,0.920821,0.015112,0.894707,0.94801,0.053304,0.834351,0.020689
0,2,22,22,1.0,0.949502,0.786073,0.036078,0.732597,0.875857,0.14326,1.878797,5.865545
0,3,22,22,1.0,0.966518,1.042255,0.043661,0.981917,1.122949,0.141032,1.166968,0.119043
0,4,14,22,0.636364,0.923466,0.926808,0.056245,0.860261,1.035716,0.175456,1.153501,0.172639
0,6,22,22,1.0,0.929987,0.97037,0.001372,0.966748,0.972373,0.005626,0.640063,0.039546
0,7,22,22,1.0,0.9867,1.042283,0.019952,0.999081,1.070934,0.071854,1.085792,0.033555
0,8,22,22,1.0,0.953979,0.842616,0.03152,0.775016,0.891113,0.116097,0.810684,0.036069
0,9,8,22,0.363636,0.954297,1.064057,0.041892,0.977769,1.110231,0.132462,1.374816,0.279349
0,10,22,22,1.0,0.955247,0.80473,0.015633,0.770022,0.824873,0.054851,0.507749,0.50655
0,12,3,22,0.136364,0.911626,0.593191,0.011519,0.581732,0.604768,0.023036,0.570925,0.021555
0,13,22,22,1.0,0.967245,1.051291,0.017387,1.030758,1.102842,0.072085,1.280372,0.108131
0,14,22,22,1.0,0.953861,0.875615,0.110999,0.713191,1.080041,0.36685,0.714807,0.949354
0,15,22,22,1.0,0.993553,0.999194,0.003342,0.993421,1.004598,0.011177,1.008791,0.007738
1,0,22,22,1.0,0.970837,1.005014,0.005378,0.995656,1.013053,0.017397,0.762449,0.082663
1,1,22,22,1.0,0.985195,0.957259,0.020701,0.903832,0.991035,0.087202,0.944422,0.036094
1,2,22,22,1.0,0.955985,0.823944,0.020315,0.78042,0.85358,0.07316,0.838694,0.035599
1,4,21,22,0.954545,0.942547,0.770343,0.052458,0.676641,0.850755,0.174114,0.652069,0.228114
1,5,5,22,0.227273,0.901853,1.090181,0.002664,1.087999,1.093443,0.005444,1.429036,0.016018
1,6,22,22,1.0,0.990455,0.972183,0.013298,0.938184,0.990615,0.05243,0.96475,0.021408
1,7,22,22,1.0,0.953345,0.957975,0.001655,0.954576,0.962675,0.008099,1.059779,0.02241
1,8,20,22,0.909091,0.903177,1.005908,0.003966,0.996857,1.011779,0.014922,1.303585,0.062952
